# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.261794899753270860e-01 -2.315812488368253952e+01 4.218600900542128329e+01
-7.000000000000000666e-02 8.361794899753269839e-01 -2.333590910511151506e+01 2.557456601255515594e+01
-5.999999999999999778e-02 8.461794899753269927e-01 -2.340938384236536507e+01 4.592175991596776363e+00
-5.000000000000000278e-02 8.561794899753270016e-01 -2.341944718274503856e+01 1.590826553992118197e-01
-4.000000000000000083e-02 8.661794899753268995e-01 -2.342753053684316100e+01 2.165114570084059498e+00
-2.999999999999999889e-02 8.761794899753270194e-01 -2.344113646317457622e+01 2.329116095886397009e+00
-2.000000000000000042e-02 8.861794899753270283e-01 -2.345199827701708983e+01 1.471909187803690067e+00
-1.000000000000000021e-02 8.961794899753270371e-01 -2.345763976568226639e+01 5.840837928990366690e-01
0.000000000000000000e+00 9.061794899753270460e-01 -2.345914192168480739e+01 -2.723168827148173335e-02
1.000000000000000021e-02 9.161794899753270549e-01 -2.345783607705019946e+01 -4.687960002241446933e-01
2.000000000000000042e-02 9.261794899753270638e-01 -2.345436620304293029e+01 -8.468261924187256984e-01
2.999999999999999889e-02 9.361794899753270727e-01 -2.344898431078578582e+01 -1.196128140377521687e+00
4.000000000000000083e-02 9.461794899753270816e-01 -2.344184847448354603e+01 -1.517932925739135408e+00
5.000000000000000278e-02 9.561794899753270904e-01 -2.343312058304022116e+01 -1.808876912702090278e+00
5.999999999999999778e-02 9.661794899753270993e-01 -2.342297325419765386e+01 -2.068422733302118122e+00
7.000000000000000666e-02 9.761794899753271082e-01 -2.341157195314188044e+01 -2.298265805079490853e+00
8.000000000000000167e-02 9.861794899753270061e-01 -2.339907141622428099e+01 -2.501122207994502133e+00
