epoch,tr_loss,ema_tr_loss,ema_tr_e_loss,ema_tr_f_loss,val_e_loss,val_f_loss
35,Array gpu:1 0.184,Array gpu:1 0.275,Array gpu:1 0.005,Array gpu:1 0.222,Array gpu:1 4.109e-05,Array gpu:1 1.894
36,Array gpu:1 0.183,Array gpu:1 0.272,Array gpu:1 0.005,Array gpu:1 0.221,Array gpu:1 3.340e-05,Array gpu:1 1.994
37,Array gpu:1 0.185,Array gpu:1 0.269,Array gpu:1 0.005,Array gpu:1 0.220,Array gpu:1 1.050e-05,Array gpu:1 1.894
38,Array gpu:1 0.187,Array gpu:1 0.266,Array gpu:1 0.005,Array gpu:1 0.218,Array gpu:1 0.000,Array gpu:1 1.911
39,Array gpu:1 0.184,Array gpu:1 0.264,Array gpu:1 0.005,Array gpu:1 0.217,Array gpu:1 9.988e-05,Array gpu:1 1.893
40,Array gpu:1 0.184,Array gpu:1 0.261,Array gpu:1 0.005,Array gpu:1 0.216,Array gpu:1 0.000,Array gpu:1 1.922
41,Array gpu:1 0.185,Array gpu:1 0.259,Array gpu:1 0.004,Array gpu:1 0.215,Array gpu:1 6.175e-05,Array gpu:1 2.121
42,Array gpu:1 0.187,Array gpu:1 0.257,Array gpu:1 0.004,Array gpu:1 0.215,Array gpu:1 5.846e-05,Array gpu:1 1.924
43,Array gpu:1 0.184,Array gpu:1 0.255,Array gpu:1 0.004,Array gpu:1 0.214,Array gpu:1 0.000,Array gpu:1 1.981
44,Array gpu:1 0.183,Array gpu:1 0.253,Array gpu:1 0.004,Array gpu:1 0.213,Array gpu:1 1.099e-05,Array gpu:1 2.052
45,Array gpu:1 0.186,Array gpu:1 0.251,Array gpu:1 0.004,Array gpu:1 0.212,Array gpu:1 1.073e-05,Array gpu:1 1.923
46,Array gpu:1 0.186,Array gpu:1 0.249,Array gpu:1 0.004,Array gpu:1 0.211,Array gpu:1 2.472e-05,Array gpu:1 1.905
47,Array gpu:1 0.182,Array gpu:1 0.248,Array gpu:1 0.004,Array gpu:1 0.210,Array gpu:1 0.000,Array gpu:1 1.931
48,Array gpu:1 0.184,Array gpu:1 0.246,Array gpu:1 0.004,Array gpu:1 0.210,Array gpu:1 1.681e-05,Array gpu:1 1.888
49,Array gpu:1 0.182,Array gpu:1 0.244,Array gpu:1 0.004,Array gpu:1 0.209,Array gpu:1 2.474e-05,Array gpu:1 1.903
50,Array gpu:1 0.183,Array gpu:1 0.243,Array gpu:1 0.003,Array gpu:1 0.208,Array gpu:1 1.399e-05,Array gpu:1 1.915
