r1,r2,ang,level,atom_index,atom,mux,muy,muz
1.021,1.053,120.0,hf,0,C,0.0,-0.03596788,-0.0222375
1.021,1.053,120.0,hf,1,O,0.0,0.20202639,0.17341137
1.021,1.053,120.0,hf,2,O,0.0,0.25453752,0.09414674
1.021,1.053,120.0,mp2,0,C,0.0,-0.03596788,-0.0222375
1.021,1.053,120.0,mp2,1,O,0.0,0.20202639,0.17341137
1.021,1.053,120.0,mp2,2,O,0.0,0.25453752,0.09414674
1.0,1.079,120.0,hf,0,C,0.0,-0.03453633,-0.02334022
1.0,1.079,120.0,hf,1,O,0.0,0.19479256,0.17395442
1.0,1.079,120.0,hf,2,O,0.0,0.25645638,0.09589067
1.0,1.079,120.0,mp2,0,C,0.0,-0.03453633,-0.02334022
1.0,1.079,120.0,mp2,1,O,0.0,0.19479256,0.17395442
1.0,1.079,120.0,mp2,2,O,0.0,0.25645638,0.09589067
1.021,1.079,120.0,hf,0,C,-0.0,-0.03594697,-0.02269083
1.021,1.079,120.0,hf,1,O,-0.0,0.19514326,0.17628971
1.021,1.079,120.0,hf,2,O,0.0,0.25664472,0.09093429
1.021,1.079,120.0,mp2,0,C,-0.0,-0.03594697,-0.02269083
1.021,1.079,120.0,mp2,1,O,-0.0,0.19514326,0.17628971
1.021,1.079,120.0,mp2,2,O,0.0,0.25664472,0.09093429
1.0,1.105,120.0,hf,0,C,-0.0,-0.03445777,-0.02305857
1.0,1.105,120.0,hf,1,O,-0.0,0.18744204,0.17647054
1.0,1.105,120.0,hf,2,O,-0.0,0.25837176,0.0917432
1.0,1.105,120.0,mp2,0,C,-0.0,-0.03445777,-0.02305857
1.0,1.105,120.0,mp2,1,O,-0.0,0.18744204,0.17647054
1.0,1.105,120.0,mp2,2,O,-0.0,0.25837176,0.0917432
1.021,1.105,120.0,hf,0,C,-0.0,-0.03596041,-0.02248414
1.021,1.105,120.0,hf,1,O,0.0,0.18813484,0.17880698
1.021,1.105,120.0,hf,2,O,-0.0,0.25867398,0.08724542
1.021,1.105,120.0,mp2,0,C,-0.0,-0.03596041,-0.02248414
1.021,1.105,120.0,mp2,1,O,0.0,0.18813484,0.17880698
1.021,1.105,120.0,mp2,2,O,-0.0,0.25867398,0.08724542
