lambda,distance_A,E_total_eV,E_internal_eV,E_ml2b_eV,E_mm_eV
0.0,2.6,-46.60646057128906,-46.60646057128906,-0.0,0.0
0.0,3.3714285714285714,-47.95749282836914,-47.95749282836914,-0.0,0.0
0.0,4.142857142857143,-48.351318359375,-48.351318359375,-0.0,0.0
0.0,4.914285714285715,-48.18674087524414,-48.18674087524414,-0.0,0.0
0.0,5.685714285714286,-47.791500091552734,-47.791500091552734,-0.0,0.0
0.0,6.457142857142857,-47.49806213378906,-47.49806213378906,-0.0,0.0
0.0,7.2285714285714295,-47.474124908447266,-47.474124908447266,-0.0,0.0
0.0,8.0,-47.47384262084961,-47.47384262084961,-0.0,0.0
0.5,2.6,-39.42267608642578,-46.60646057128906,-0.2050582319498062,7.388843536376953
0.5,3.3714285714285714,-47.99695587158203,-47.95749282836914,-0.2590519189834595,0.2195875495672226
0.5,4.142857142857143,-48.416099548339844,-48.35132598876953,-0.0711030587553978,0.006327143870294094
0.5,4.914285714285715,-48.183746337890625,-48.18653106689453,-0.0008863737457431853,0.003667878219857812
0.5,5.685714285714286,-47.78639221191406,-47.79053497314453,-0.0,0.0041410233825445175
0.5,6.457142857142857,-47.49407958984375,-47.49760437011719,-0.0,0.003524199826642871
0.5,7.2285714285714295,-47.47223663330078,-47.474124908447266,-0.0,0.0018890139181166887
0.5,8.0,-47.47384262084961,-47.47384262084961,-0.0,0.0
1.0,2.6,-32.2388916015625,-46.60646057128906,-0.4101164638996124,14.777687072753906
1.0,3.3714285714285714,-48.03642272949219,-47.95749282836914,-0.518103837966919,0.4391750991344452
1.0,4.142857142857143,-48.48087692260742,-48.35132598876953,-0.1422061175107956,0.012654287740588188
1.0,4.914285714285715,-48.18117904663086,-48.18674087524414,-0.0017723385244607925,0.007335756439715624
1.0,5.685714285714286,-47.78225326538086,-47.79053497314453,-0.0,0.008282046765089035
1.0,6.457142857142857,-47.49101257324219,-47.49806213378906,-0.0,0.007048399653285742
1.0,7.2285714285714295,-47.4703483581543,-47.474124908447266,-0.0,0.0037780278362333775
1.0,8.0,-47.47384262084961,-47.47384262084961,-0.0,0.0
