# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.966618158771677560e-01 -1.848342882061574244e+01 5.347963140549516048e+00
-7.000000000000000666e-02 9.066618158771674318e-01 -1.850731983590349472e+01 4.254127427113718163e+00
-5.999999999999999778e-02 9.166618158771676628e-01 -1.852619782162101458e+01 3.331869575676293493e+00
-5.000000000000000278e-02 9.266618158771675606e-01 -1.854085440617095770e+01 2.557072481103510153e+00
-4.000000000000000083e-02 9.366618158771676805e-01 -1.855195928785907711e+01 1.904868012200570560e+00
-2.999999999999999889e-02 9.466618158771674674e-01 -1.856005736139822915e+01 1.350588988154648895e+00
-2.000000000000000042e-02 9.566618158771675873e-01 -1.856556915248219397e+01 8.705756891883625892e-01
-1.000000000000000021e-02 9.666618158771678182e-01 -1.856880307131603658e+01 4.428240528833887746e-01
0.000000000000000000e+00 9.766618158771676050e-01 -1.856996011695007098e+01 4.747668931237653683e-02
1.000000000000000021e-02 9.866618158771678360e-01 -1.856914823458199848e+01 -3.328222911039564469e-01
2.000000000000000042e-02 9.966618158771676228e-01 -1.856638862416580693e+01 -7.154380786330226671e-01
2.999999999999999889e-02 1.006661815877167854e+00 -1.856159206208673496e+01 0.000000000000000000e+00
4.000000000000000083e-02 1.016661815877167641e+00 -1.855461229226144937e+01 -1.540330093833662595e+00
5.000000000000000278e-02 1.026661815877167649e+00 -1.854526666816830982e+01 -1.996482670532035542e+00
5.999999999999999778e-02 1.036661815877167436e+00 -1.853335251403684225e+01 -2.486186542053981707e+00
7.000000000000000666e-02 1.046661815877167667e+00 -1.851866071664229807e+01 -3.008909192999440929e+00
8.000000000000000167e-02 1.056661815877167676e+00 -1.850099353786658440e+01 -3.561255192671433978e+00
