# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.259079461032469149e-01 -2.314101243019104004e+01 3.649806458177711477e+01
-7.000000000000000666e-02 8.359079461032468128e-01 -2.330622482299804688e+01 2.146350083537529585e+01
-5.999999999999999778e-02 8.459079461032468217e-01 -2.335393977165222168e+01 2.967513676948212886e+00
-5.000000000000000278e-02 8.559079461032468306e-01 -2.335949945449829102e+01 3.818125639527112369e-01
-4.000000000000000083e-02 8.659079461032468394e-01 -2.336841773986816406e+01 2.253688960825420473e+00
-2.999999999999999889e-02 8.759079461032468483e-01 -2.338154864311218262e+01 2.148918445207199657e+00
-2.000000000000000042e-02 8.859079461032468572e-01 -2.339120650291442871e+01 1.286005299354078923e+00
-1.000000000000000021e-02 8.959079461032468661e-01 -2.339614415168762207e+01 5.312531491922575233e-01
0.000000000000000000e+00 9.059079461032468750e-01 -2.339766144752502441e+01 2.955802168534020155e-02
1.000000000000000021e-02 9.159079461032468839e-01 -2.339684581756591797e+01 -3.512593197391155053e-01
2.000000000000000042e-02 9.259079461032470038e-01 -2.339410233497619629e+01 -7.054650868710971023e-01
2.999999999999999889e-02 9.359079461032469016e-01 -2.338951659202575684e+01 -1.057144683186888034e+00
4.000000000000000083e-02 9.459079461032470215e-01 -2.338312935829162598e+01 -1.398518180601213468e+00
5.000000000000000278e-02 9.559079461032469194e-01 -2.337503409385681152e+01 -1.717854285443336293e+00
5.999999999999999778e-02 9.659079461032468172e-01 -2.336537027359008789e+01 -2.008636982228538148e+00
7.000000000000000666e-02 9.759079461032469371e-01 -2.335429906845092773e+01 -2.269277867194529286e+00
8.000000000000000167e-02 9.859079461032469460e-01 -2.334197854995727539e+01 -2.500891621886071281e+00
