mono,model,id,mono_error
1.7480737,1.2923766,dsgdb9nsd_008981,0.020087598
1.5779214,1.5461997,dsgdb9nsd_055387,0.01697822
2.1237414,1.8150566,dsgdb9nsd_026153,0.016172083
1.9900094,1.3744296,dsgdb9nsd_070715,0.016172083
1.7296523,0.8877009,dsgdb9nsd_103851,0.013192888
2.0007715,1.2959924,dsgdb9nsd_011270,0.018912945
2.5196526,1.7961267,dsgdb9nsd_029570,0.015450804
1.9973398,1.1563147,dsgdb9nsd_114910,0.014214326
2.084056,1.2463266,dsgdb9nsd_013604,0.016172083
1.5943642,0.9282489,dsgdb9nsd_095683,0.013192888
2.0464454,1.0264343,dsgdb9nsd_114237,0.013192888
2.2593367,1.5788506,dsgdb9nsd_085644,0.016172083
1.2672046,0.7631619,dsgdb9nsd_002464,0.015450804
1.4830457,0.9908965,dsgdb9nsd_079450,0.015450804
2.2860594,1.0275036,dsgdb9nsd_022175,0.014801653
1.3868076,1.194855,dsgdb9nsd_044742,0.01788512
2.386405,1.7175232,dsgdb9nsd_125542,0.028658543
1.7836051,1.1610757,dsgdb9nsd_085676,0.022231203
2.4089503,2.003864,dsgdb9nsd_023967,0.031122625
2.7803462,1.4580231,dsgdb9nsd_112130,0.022231203
1.8540382,1.4350908,dsgdb9nsd_105569,0.029205492
2.1401584,1.174455,dsgdb9nsd_067696,0.029205492
2.8225994,1.8622229,dsgdb9nsd_024522,0.03124736
2.2325876,1.4640473,dsgdb9nsd_009710,0.028658543
1.6574117,1.083394,dsgdb9nsd_007423,0.025659118
2.286762,1.3106614,dsgdb9nsd_106655,0.027070612
1.8550043,1.2737684,dsgdb9nsd_044304,0.029205492
2.143818,1.2659016,dsgdb9nsd_015544,0.029205492
2.749776,1.6703155,dsgdb9nsd_021829,0.031181248
1.57748,1.1176015,dsgdb9nsd_091284,0.025659118
1.4474084,0.8538278,dsgdb9nsd_003512,0.024396202
1.9759613,1.3426222,dsgdb9nsd_082102,0.023259578
1.779104,1.2807502,dsgdb9nsd_072512,0.019421764
1.649699,1.045864,dsgdb9nsd_009587,0.020085808
2.6874037,2.472875,dsgdb9nsd_030256,0.020209698
2.8803623,1.7109498,dsgdb9nsd_079640,0.01926807
2.673621,1.3752129,dsgdb9nsd_005399,0.02120464
