mono,model,id,mono_error
1.2278821,1.4940414,dsgdb9nsd_132354,0.06973296
2.726772,2.2442257,dsgdb9nsd_131306,0.06973296
2.3196166,1.4227626,dsgdb9nsd_128954,0.07302597
1.956752,1.6601732,dsgdb9nsd_132972,0.07302597
3.75527,1.9674155,dsgdb9nsd_127787,0.061753877
2.4922888,2.430946,dsgdb9nsd_133519,0.08614336
2.5649335,1.8993348,dsgdb9nsd_130176,0.061753877
2.6919718,2.1632392,dsgdb9nsd_129962,0.07302597
2.095784,1.7397327,dsgdb9nsd_127139,0.05842926
2.7550993,3.0959225,dsgdb9nsd_128314,0.06973296
3.3090246,2.3138976,dsgdb9nsd_129133,0.08614336
2.8987465,2.1066413,dsgdb9nsd_128001,0.07302597
2.4006689,1.9861759,dsgdb9nsd_127674,0.065494075
2.5679233,1.4297389,dsgdb9nsd_133035,0.065494075
2.1784377,8.545137,dsgdb9nsd_131989,0.080305144
3.1093,2.5439181,dsgdb9nsd_131177,0.06973296
1.257228,1.1392094,dsgdb9nsd_133722,0.065494075
2.9042683,1.642537,dsgdb9nsd_131509,0.065494075
2.3726337,2.6744058,dsgdb9nsd_133418,0.08614336
2.7869325,2.0125356,dsgdb9nsd_129660,0.07302597
1.9800814,2.0475109,dsgdb9nsd_132166,0.07592345
1.3323317,2.8125045,dsgdb9nsd_132131,0.08614336
2.8235004,1.8583812,dsgdb9nsd_131743,0.065494075
2.3853238,1.9068995,dsgdb9nsd_128523,0.065494075
1.6385069,1.6895584,dsgdb9nsd_132905,0.07302597
3.4650505,2.7718546,dsgdb9nsd_130490,0.080305144
2.5137365,2.5859144,dsgdb9nsd_129453,0.080305144
2.7883184,10.138448,dsgdb9nsd_130338,0.07302597
2.6020346,1.8002976,dsgdb9nsd_129549,0.06973296
2.576074,1.9331094,dsgdb9nsd_127404,0.05842926
2.1773336,2.1037977,dsgdb9nsd_133169,0.06973296
2.903022,1.9245398,dsgdb9nsd_131870,0.065494075
2.7559516,7.335186,dsgdb9nsd_130383,0.07302597
2.5192134,1.959221,dsgdb9nsd_128172,0.06973296
2.7193599,2.4241824,dsgdb9nsd_131268,0.06973296
2.3830552,1.7168857,dsgdb9nsd_126905,0.05842926
3.2816906,2.6841595,dsgdb9nsd_127755,0.07592345
2.6171732,2.0551052,dsgdb9nsd_133201,0.06973296
2.5617943,2.6450615,dsgdb9nsd_128675,0.06973296
2.8539631,1.7548913,dsgdb9nsd_127258,0.05842926
2.2779014,1.8901865,dsgdb9nsd_131302,0.07302597
1.9405907,1.4698813,dsgdb9nsd_132810,0.07592345
3.1570218,2.0250707,dsgdb9nsd_131039,0.080305144
1.8203173,2.2396326,dsgdb9nsd_133090,0.07592345
3.6286626,2.451726,dsgdb9nsd_131783,0.065494075
3.912529,3.329992,dsgdb9nsd_129322,0.080305144
3.0982628,2.1496794,dsgdb9nsd_127946,0.06973296
2.367166,1.4511195,dsgdb9nsd_127462,0.05842926
1.4386561,1.2808425,dsgdb9nsd_133575,0.065494075
2.8673136,2.168925,dsgdb9nsd_133393,0.080305144
3.0737965,2.184785,dsgdb9nsd_131583,0.06973296
4.5904717,3.6945176,dsgdb9nsd_127810,0.080305144
2.7752948,3.8316717,dsgdb9nsd_130740,0.09318048
2.6172452,2.2814474,dsgdb9nsd_131326,0.080305144
2.1590157,2.222692,dsgdb9nsd_129269,0.080305144
1.4216528,1.8053981,dsgdb9nsd_132265,0.06973296
2.1951504,2.1756527,dsgdb9nsd_130703,0.06973296
1.1059262,1.5136801,dsgdb9nsd_133550,0.065494075
2.5566652,1.8537725,dsgdb9nsd_129485,0.06973296
1.9270804,1.8886557,dsgdb9nsd_133171,0.06973296
2.3704433,1.9446741,dsgdb9nsd_130934,0.061753877
1.5158665,1.5466714,dsgdb9nsd_132746,0.06973296
3.007169,1.8758875,dsgdb9nsd_129845,0.07302597
3.3922744,2.162477,dsgdb9nsd_127920,0.06973296
2.9495032,2.4782715,dsgdb9nsd_129526,0.07592345
2.3212984,1.7290581,dsgdb9nsd_127014,0.05842926
1.5028185,1.7004199,dsgdb9nsd_133483,0.080305144
3.1400151,8.135826,dsgdb9nsd_131964,0.07592345
2.5684981,1.6229807,dsgdb9nsd_127094,0.061753877
2.3898766,1.4702432,dsgdb9nsd_128812,0.05842926
2.693175,1.8445312,dsgdb9nsd_131001,0.07592345
3.7550297,6.797649,dsgdb9nsd_129410,0.06973296
3.0277443,1.9647883,dsgdb9nsd_131445,0.07302597
2.7527409,1.7230338,dsgdb9nsd_128888,0.09318048
2.4239428,1.9774271,dsgdb9nsd_128301,0.05842926
3.9676251,2.7790773,dsgdb9nsd_129320,0.080305144
2.7914515,1.8193735,dsgdb9nsd_131548,0.06973296
1.8108878,2.5387318,dsgdb9nsd_133078,0.06973296
3.3303554,2.1287148,dsgdb9nsd_128176,0.07592345
1.9264911,3.2868898,dsgdb9nsd_132243,0.09318048
2.4413738,1.6149257,dsgdb9nsd_127318,0.06973296
3.0233252,1.874978,dsgdb9nsd_128152,0.06973296
2.0009425,1.3201872,dsgdb9nsd_126758,0.055454604
2.4937437,2.3069656,dsgdb9nsd_128746,0.06973296
2.9834836,1.8481225,dsgdb9nsd_130724,0.080305144
1.9725149,1.8907369,dsgdb9nsd_133444,0.08614336
2.1295528,2.2698808,dsgdb9nsd_132016,0.06973296
3.6833508,1.9709806,dsgdb9nsd_131484,0.06973296
2.2474215,1.8061974,dsgdb9nsd_128704,0.06973296
1.6527255,2.1243124,dsgdb9nsd_132130,0.080305144
2.9806435,2.1638124,dsgdb9nsd_127027,0.061753877
3.3909461,1.8342164,dsgdb9nsd_129699,0.07302597
3.8852005,1.9063784,dsgdb9nsd_129009,0.07592345
3.0509229,1.8868799,dsgdb9nsd_129911,0.061753877
1.4519411,1.4098319,dsgdb9nsd_133593,0.07302597
3.794657,2.6046216,dsgdb9nsd_128598,0.07302597
2.3478596,3.4709058,dsgdb9nsd_130968,0.07592345
1.0758634,1.6882647,dsgdb9nsd_132400,0.08614336
