mono,model,id,mono_error
1.2278821,1.4968812,dsgdb9nsd_132354,0.03738932
2.726772,2.254559,dsgdb9nsd_131306,0.03738932
2.3196166,1.6680176,dsgdb9nsd_128954,0.03768251
1.956752,1.2570878,dsgdb9nsd_132972,0.03768251
3.75527,2.0134609,dsgdb9nsd_127787,0.033100773
2.4922888,2.5481522,dsgdb9nsd_133519,0.041234255
2.5649335,1.7028042,dsgdb9nsd_130176,0.033100773
2.6919718,1.8456562,dsgdb9nsd_129962,0.03768251
2.095784,1.6151936,dsgdb9nsd_127139,0.03131388
2.7550993,1.7158289,dsgdb9nsd_128314,0.03738932
3.3090246,1.8140578,dsgdb9nsd_129133,0.041234255
2.8987465,1.5955132,dsgdb9nsd_128001,0.03768251
2.4006689,1.75549,dsgdb9nsd_127674,0.035111025
2.5679233,1.8442217,dsgdb9nsd_133035,0.035111025
2.1784377,2.729816,dsgdb9nsd_131989,0.0381215
3.1093,1.6490111,dsgdb9nsd_131177,0.03738932
1.257228,1.0443496,dsgdb9nsd_133722,0.035111025
2.9042683,1.7809384,dsgdb9nsd_131509,0.035111025
2.3726337,2.4537137,dsgdb9nsd_133418,0.041234255
2.7869325,1.9546746,dsgdb9nsd_129660,0.03768251
1.9800814,1.6504977,dsgdb9nsd_132166,0.037758805
1.3323317,2.2820623,dsgdb9nsd_132131,0.041234255
2.8235004,1.3477179,dsgdb9nsd_131743,0.035111025
2.3853238,1.5790616,dsgdb9nsd_128523,0.035111025
1.6385069,1.2624499,dsgdb9nsd_132905,0.03768251
3.4650505,2.0265987,dsgdb9nsd_130490,0.0381215
2.5137365,1.789106,dsgdb9nsd_129453,0.0381215
2.7883184,6.4748015,dsgdb9nsd_130338,0.03768251
2.6020346,1.5907667,dsgdb9nsd_129549,0.03738932
2.576074,1.6942881,dsgdb9nsd_127404,0.03131388
2.1773336,1.92571,dsgdb9nsd_133169,0.03738932
2.903022,1.5077021,dsgdb9nsd_131870,0.035111025
2.7559516,6.497538,dsgdb9nsd_130383,0.03768251
2.5192134,1.6560066,dsgdb9nsd_128172,0.03738932
2.7193599,1.4184704,dsgdb9nsd_131268,0.03738932
2.3830552,1.9727467,dsgdb9nsd_126905,0.03131388
3.2816906,1.8142787,dsgdb9nsd_127755,0.037758805
2.6171732,1.6207507,dsgdb9nsd_133201,0.03738932
2.561794,1.6473554,dsgdb9nsd_128675,0.03738932
2.8539631,1.8553702,dsgdb9nsd_127258,0.03131388
2.2779014,1.5114609,dsgdb9nsd_131302,0.03768251
1.9405907,1.4458109,dsgdb9nsd_132810,0.037758805
3.1570218,1.5873909,dsgdb9nsd_131039,0.0381215
1.8203173,2.2749393,dsgdb9nsd_133090,0.037758805
3.6286626,2.27126,dsgdb9nsd_131783,0.035111025
3.912529,2.0850272,dsgdb9nsd_129322,0.0381215
3.0982628,1.7180043,dsgdb9nsd_127946,0.03738932
2.367166,1.430634,dsgdb9nsd_127462,0.03131388
1.4386561,0.9740388,dsgdb9nsd_133575,0.035111025
2.8673136,1.7093657,dsgdb9nsd_133393,0.0381215
3.0737965,2.0558639,dsgdb9nsd_131583,0.03738932
4.5904717,2.9803026,dsgdb9nsd_127810,0.0381215
2.7752948,4.5011177,dsgdb9nsd_130740,0.044936128
2.6172452,2.2106357,dsgdb9nsd_131326,0.0381215
2.1590157,1.4890891,dsgdb9nsd_129269,0.0381215
1.4216527,1.1363466,dsgdb9nsd_132265,0.03738932
2.1951504,1.4895744,dsgdb9nsd_130703,0.03738932
1.1059262,1.8592138,dsgdb9nsd_133550,0.035111025
2.5566652,1.5784827,dsgdb9nsd_129485,0.03738932
1.9270804,1.6463345,dsgdb9nsd_133171,0.03738932
2.3704433,1.4632627,dsgdb9nsd_130934,0.033100773
1.5158665,1.3252875,dsgdb9nsd_132746,0.03738932
3.007169,1.8040129,dsgdb9nsd_129845,0.03768251
3.3922744,1.8886057,dsgdb9nsd_127920,0.03738932
2.9495027,2.1237118,dsgdb9nsd_129526,0.037758805
2.3212984,1.3247331,dsgdb9nsd_127014,0.03131388
1.5028185,2.6341045,dsgdb9nsd_133483,0.0381215
3.1400151,5.001941,dsgdb9nsd_131964,0.037758805
2.5684981,1.70012,dsgdb9nsd_127094,0.033100773
2.3898766,1.4855039,dsgdb9nsd_128812,0.03131388
2.693175,1.6638691,dsgdb9nsd_131001,0.037758805
3.7550297,8.628241,dsgdb9nsd_129410,0.03738932
3.0277443,1.9447126,dsgdb9nsd_131445,0.03768251
2.7527409,1.5862391,dsgdb9nsd_128888,0.044936128
2.4239428,2.128625,dsgdb9nsd_128301,0.03131388
3.9676251,2.951448,dsgdb9nsd_129320,0.0381215
2.7914515,1.8009411,dsgdb9nsd_131548,0.03738932
1.8108878,1.1124306,dsgdb9nsd_133078,0.03738932
3.3303556,1.5274584,dsgdb9nsd_128176,0.037758805
1.9264911,2.039037,dsgdb9nsd_132243,0.044936128
2.441374,1.7901896,dsgdb9nsd_127318,0.03738932
3.0233252,1.6611085,dsgdb9nsd_128152,0.03738932
2.0009425,1.2107205,dsgdb9nsd_126758,0.02971508
2.4937437,2.5478482,dsgdb9nsd_128746,0.03738932
2.9834836,2.3372915,dsgdb9nsd_130724,0.0381215
1.9725149,1.8201492,dsgdb9nsd_133444,0.041234255
2.1295528,2.2503111,dsgdb9nsd_132016,0.03738932
3.6833508,1.6898453,dsgdb9nsd_131484,0.03738932
2.2474215,1.5522414,dsgdb9nsd_128704,0.03738932
1.6527255,2.0822384,dsgdb9nsd_132130,0.0381215
2.9806435,1.7579124,dsgdb9nsd_127027,0.033100773
3.3909461,1.8266261,dsgdb9nsd_129699,0.03768251
3.8852005,1.7902377,dsgdb9nsd_129009,0.037758805
3.0509229,1.6571091,dsgdb9nsd_129911,0.033100773
1.4519411,1.2963189,dsgdb9nsd_133593,0.03768251
3.7946572,1.5964733,dsgdb9nsd_128598,0.03768251
2.3478596,1.6892003,dsgdb9nsd_130968,0.037758805
1.0758634,1.2613074,dsgdb9nsd_132400,0.041234255
2.5451605,1.6665751,dsgdb9nsd_133405,0.041234255
2.6288424,1.7268326,dsgdb9nsd_128727,0.035111025
2.2812698,1.7885429,dsgdb9nsd_127445,0.033100773
3.5248616,2.03978,dsgdb9nsd_129416,0.037758805
2.3716614,1.6617596,dsgdb9nsd_131205,0.03738932
3.3360972,1.5559915,dsgdb9nsd_131691,0.03738932
3.3409212,1.9067655,dsgdb9nsd_128071,0.03768251
3.2777877,3.9546945,dsgdb9nsd_131971,0.037758805
2.2799065,1.405128,dsgdb9nsd_129351,0.035111025
2.231332,1.7363952,dsgdb9nsd_133445,0.044936128
2.9518192,3.5152178,dsgdb9nsd_129336,0.03768251
2.4232917,1.6594056,dsgdb9nsd_130912,0.041234255
2.0440266,1.3655185,dsgdb9nsd_132692,0.037758805
2.0228922,1.6242229,dsgdb9nsd_133070,0.03738932
2.9538388,1.7954216,dsgdb9nsd_129814,0.03738932
1.9278299,1.4902146,dsgdb9nsd_129264,0.037758805
2.4663687,2.0110078,dsgdb9nsd_130340,0.03738932
2.6119418,1.4071985,dsgdb9nsd_131504,0.035111025
1.4982178,1.459895,dsgdb9nsd_133757,0.03768251
2.304013,1.6291777,dsgdb9nsd_132991,0.03738932
2.5978274,1.4613866,dsgdb9nsd_127568,0.03738932
1.5440832,1.278021,dsgdb9nsd_133707,0.035111025
1.9730679,1.7651035,dsgdb9nsd_132132,0.037758805
1.9118234,1.4978539,dsgdb9nsd_133441,0.044936128
3.6964192,1.897788,dsgdb9nsd_127205,0.03768251
2.4023058,1.621967,dsgdb9nsd_128700,0.035111025
1.9290489,1.5082735,dsgdb9nsd_131789,0.03738932
2.3244634,1.3862176,dsgdb9nsd_128426,0.033100773
1.4757373,1.9887309,dsgdb9nsd_133635,0.035111025
4.916819,4.692696,dsgdb9nsd_133820,0.035111025
1.6672809,1.4470533,dsgdb9nsd_132312,0.05438878
2.5565464,1.5759069,dsgdb9nsd_131781,0.042426094
2.6244028,2.5333884,dsgdb9nsd_129176,0.05556978
3.115968,1.5272275,dsgdb9nsd_131778,0.044856012
2.714154,1.8116049,dsgdb9nsd_130595,0.05556978
2.5645478,1.6782831,dsgdb9nsd_130071,0.042426094
3.398915,2.1954455,dsgdb9nsd_133255,0.05556978
3.5938392,1.614378,dsgdb9nsd_131676,0.05075725
3.0584774,1.8765996,dsgdb9nsd_131838,0.04760993
2.449436,1.8127226,dsgdb9nsd_129825,0.044856012
3.1750057,2.0382442,dsgdb9nsd_129202,0.05075725
2.6981864,7.439543,dsgdb9nsd_129393,0.05075725
3.1163194,1.5427932,dsgdb9nsd_131461,0.05556978
2.0471296,1.9171675,dsgdb9nsd_133546,0.056856275
2.3570225,1.4102247,dsgdb9nsd_131608,0.042426094
4.5668325,2.0169134,dsgdb9nsd_127956,0.05075725
3.185937,2.1158595,dsgdb9nsd_129295,0.05075725
4.0711365,1.9060535,dsgdb9nsd_129642,0.04760993
2.5278068,1.8145225,dsgdb9nsd_129870,0.044856012
