mono,model,id,mono_error
1.9479146,1.4549483,dsgdb9nsd_098046,0.030919205
2.264002,4.9259915,dsgdb9nsd_102797,0.029128848
2.3920658,1.4339051,dsgdb9nsd_042143,0.021656044
2.9283345,1.773805,dsgdb9nsd_070012,0.029128848
2.2993517,1.4645805,dsgdb9nsd_049641,0.030919205
3.2878225,1.6402513,dsgdb9nsd_123966,0.028475102
1.8847436,1.4997697,dsgdb9nsd_003033,0.028475102
1.732152,0.92526317,dsgdb9nsd_076630,0.02261845
1.8023701,1.2005078,dsgdb9nsd_089605,0.029128848
1.6117071,1.0243886,dsgdb9nsd_011259,0.027537417
2.3484547,1.1315672,dsgdb9nsd_037035,0.027537417
2.2683232,1.1645793,dsgdb9nsd_096853,0.024831986
1.6637868,1.3699347,dsgdb9nsd_074964,0.026113506
1.6733735,1.2033669,dsgdb9nsd_118107,0.023672514
1.9781171,1.312673,dsgdb9nsd_112531,0.029128848
2.882335,1.879205,dsgdb9nsd_045886,0.029128848
2.0158331,1.3507317,dsgdb9nsd_003281,0.019621074
2.2249842,1.8470403,dsgdb9nsd_042522,0.019808298
1.6810371,1.085264,dsgdb9nsd_037383,0.015705546
1.4383854,1.0773706,dsgdb9nsd_068632,0.014335111
2.1219969,1.1313319,dsgdb9nsd_083521,0.0137477815
1.5311899,1.2436185,dsgdb9nsd_045354,0.019621074
1.8410004,1.1494578,dsgdb9nsd_052315,0.014335111
2.582726,1.641062,dsgdb9nsd_066707,0.018446418
1.6965436,1.2768811,dsgdb9nsd_085028,0.016511684
2.309863,1.4759258,dsgdb9nsd_106116,0.015705546
1.4566809,0.9575412,dsgdb9nsd_112968,0.0127263395
1.7911307,1.1595466,dsgdb9nsd_080266,0.015705546
1.9197727,1.1611733,dsgdb9nsd_030808,0.0137477815
2.4679384,1.3498544,dsgdb9nsd_072811,0.0137477815
2.2344687,1.4040276,dsgdb9nsd_125892,0.014984264
2.0229158,1.2193503,dsgdb9nsd_124500,0.014984264
1.3564475,0.80196476,dsgdb9nsd_015598,0.012213486
2.7639394,1.535008,dsgdb9nsd_024154,0.012715473
2.1015217,1.4103907,dsgdb9nsd_032058,0.014345061
1.9588702,1.0674965,dsgdb9nsd_010842,0.011868824
2.1007338,1.152346,dsgdb9nsd_002994,0.012715473
3.4985983,2.1898904,dsgdb9nsd_075406,0.011696393
2.2676806,0.9930385,dsgdb9nsd_009346,0.012003736
2.1465151,1.1201975,dsgdb9nsd_067218,0.0112263085
1.7787367,1.4721208,dsgdb9nsd_016259,0.014345061
1.6598474,1.450845,dsgdb9nsd_070406,0.011868824
2.0599966,1.2755842,dsgdb9nsd_034438,0.012211768
2.0026512,1.1314459,dsgdb9nsd_052314,0.012213486
2.4567502,1.8380592,dsgdb9nsd_028178,0.013506435
1.1376995,0.486417,dsgdb9nsd_091418,0.010041696
1.6156945,1.2901567,dsgdb9nsd_077323,0.012211768
2.501179,1.8619901,dsgdb9nsd_041169,0.012211768
1.9019519,1.2623055,dsgdb9nsd_085791,0.017154397
1.6490344,1.1817193,dsgdb9nsd_044749,0.017922044
1.5909728,0.9608326,dsgdb9nsd_090083,0.01399987
2.3186662,1.3234167,dsgdb9nsd_079095,0.016234327
2.1684792,1.4924014,dsgdb9nsd_005581,0.01840051
2.0448067,1.2389665,dsgdb9nsd_063724,0.014670207
1.8905071,1.2093235,dsgdb9nsd_029800,0.017154397
1.6617976,0.9965645,dsgdb9nsd_040097,0.015411106
2.0320177,0.9399889,dsgdb9nsd_115299,0.01185479
3.099629,2.786137,dsgdb9nsd_029546,0.020060912
2.3035252,1.2744138,dsgdb9nsd_073350,0.015411106
1.488786,0.9807067,dsgdb9nsd_065983,0.014670207
2.0552602,1.1831259,dsgdb9nsd_088895,0.017154397
1.6172563,1.0715092,dsgdb9nsd_112148,0.01840051
1.9469205,1.3931274,dsgdb9nsd_000580,0.020060912
2.9927924,1.1735027,dsgdb9nsd_021070,0.01840051
1.9083513,1.4770821,dsgdb9nsd_053703,0.0133339735
1.45182,1.045291,dsgdb9nsd_112409,0.012714711
1.5274451,0.8059343,dsgdb9nsd_117986,0.010361586
1.8629936,1.6369407,dsgdb9nsd_041223,0.01374444
2.2867758,1.7060599,dsgdb9nsd_005314,0.01374444
2.0252662,1.4726094,dsgdb9nsd_050777,0.01586519
2.2228048,1.2535189,dsgdb9nsd_000909,0.016658356
1.6625228,1.1452373,dsgdb9nsd_110235,0.0133339735
1.4385321,0.8654568,dsgdb9nsd_007183,0.012714711
1.8302096,1.2634654,dsgdb9nsd_049611,0.013931423
2.0376573,1.4875354,dsgdb9nsd_084339,0.013931423
2.5812333,1.2602854,dsgdb9nsd_062680,0.012154426
1.8575749,1.09848,dsgdb9nsd_082192,0.0133339735
1.5882167,0.966648,dsgdb9nsd_073130,0.012154426
2.2325976,1.1572922,dsgdb9nsd_107250,0.012154426
1.3238301,0.8817771,dsgdb9nsd_120547,0.011180095
1.6329272,1.19705,dsgdb9nsd_036644,0.024703864
2.5064888,1.4403306,dsgdb9nsd_090555,0.025160339
1.8085855,1.1197859,dsgdb9nsd_000652,0.027681079
2.2262828,1.0628504,dsgdb9nsd_124477,0.025160339
2.1822484,1.3099971,dsgdb9nsd_069299,0.026191073
1.8225807,1.0619799,dsgdb9nsd_012352,0.02356738
2.1385174,1.4103345,dsgdb9nsd_071000,0.024703864
1.562943,1.4467258,dsgdb9nsd_000011,0.032413736
1.3942237,0.7581447,dsgdb9nsd_121749,0.021604365
1.3046918,0.750937,dsgdb9nsd_036516,0.020750878
1.1477168,0.63709515,dsgdb9nsd_057537,0.017969146
1.5212424,1.6510582,dsgdb9nsd_033583,0.029524434
2.4674103,1.6351103,dsgdb9nsd_021166,0.026191073
1.6373417,1.0677862,dsgdb9nsd_113267,0.021604365
2.214599,1.3001189,dsgdb9nsd_090652,0.025160339
1.8703897,1.5174171,dsgdb9nsd_052914,0.025933381
2.177302,1.0644404,dsgdb9nsd_006333,0.02064835
1.6536356,1.3136741,dsgdb9nsd_050653,0.02064835
2.4567263,1.4479464,dsgdb9nsd_067361,0.02064835
3.1007767,1.9818488,dsgdb9nsd_000114,0.023598272
1.5573515,0.91079193,dsgdb9nsd_084541,0.017548941
2.5954807,1.805352,dsgdb9nsd_025230,0.020571077
1.6733891,0.87101763,dsgdb9nsd_001753,0.017548941
1.9503115,0.8441511,dsgdb9nsd_079574,0.015974639
1.9193008,1.5391794,dsgdb9nsd_015024,0.021246022
2.3401153,1.4896888,dsgdb9nsd_083152,0.020571077
2.1807687,1.2137858,dsgdb9nsd_113336,0.017548941
1.6097375,1.3307296,dsgdb9nsd_117141,0.018467285
1.9105686,0.6903911,dsgdb9nsd_077719,0.014674127
2.202456,1.4377273,dsgdb9nsd_044547,0.019493667
1.480889,0.8411043,dsgdb9nsd_074691,0.014674127
1.7065221,1.920134,dsgdb9nsd_023728,0.020736888
2.7181392,1.6884577,dsgdb9nsd_004971,0.01759081
1.6831458,1.08905,dsgdb9nsd_120492,0.012693765
2.4387102,1.7216582,dsgdb9nsd_070009,0.014372751
1.8213068,0.87135404,dsgdb9nsd_108198,0.013759788
1.7230072,1.2399656,dsgdb9nsd_082466,0.016644321
2.5607934,1.6024083,dsgdb9nsd_054068,0.018736947
1.7472032,1.1465932,dsgdb9nsd_122431,0.013202548
2.450351,1.930317,dsgdb9nsd_034874,0.01759081
2.6553829,1.2413869,dsgdb9nsd_077833,0.01759081
1.7371151,1.0425608,dsgdb9nsd_096262,0.014372751
2.1981907,1.2112694,dsgdb9nsd_074329,0.01759081
1.9892647,1.2222136,dsgdb9nsd_120679,0.014372751
2.2771761,1.3161469,dsgdb9nsd_124824,0.016644321
2.7428107,1.5916858,dsgdb9nsd_041519,0.015803
2.474177,1.6970457,dsgdb9nsd_032706,0.015803
1.8963412,1.0142577,dsgdb9nsd_111054,0.013202548
1.4831876,1.0214461,dsgdb9nsd_017733,0.00983474
1.5437272,1.1987282,dsgdb9nsd_016852,0.009135428
1.7836392,1.153404,dsgdb9nsd_083326,0.010348338
1.6602055,1.1395379,dsgdb9nsd_119060,0.008533666
1.8060313,1.0215485,dsgdb9nsd_110783,0.010348338
2.1747725,1.4414568,dsgdb9nsd_107295,0.00983474
2.206102,1.0421097,dsgdb9nsd_106668,0.008533666
2.0549479,1.0353361,dsgdb9nsd_062492,0.007854844
1.8100342,0.9144198,dsgdb9nsd_057383,0.008178827
1.6656314,1.3403406,dsgdb9nsd_045558,0.008923988
1.7915092,1.1338352,dsgdb9nsd_010739,0.010348338
1.6840061,1.3033499,dsgdb9nsd_113152,0.009355397
1.8529108,1.6390493,dsgdb9nsd_027733,0.00983474
2.0965338,1.124923,dsgdb9nsd_063830,0.00983474
1.5906507,0.8100988,dsgdb9nsd_003404,0.009355397
2.1434996,1.2638003,dsgdb9nsd_065180,0.010348338
1.9676692,1.2897527,dsgdb9nsd_040308,0.016316423
1.8525828,1.0830907,dsgdb9nsd_007094,0.016316423
1.7530658,1.1720421,dsgdb9nsd_060002,0.013349376
2.1260016,1.2890757,dsgdb9nsd_060759,0.016316423
1.9238209,1.2955325,dsgdb9nsd_061827,0.013349376
2.256022,1.7344743,dsgdb9nsd_064626,0.018156417
2.161554,1.2606236,dsgdb9nsd_055609,0.019434104
2.5333872,1.4388696,dsgdb9nsd_086777,0.018156417
1.9856288,1.1596832,dsgdb9nsd_108148,0.0146767385
1.9362432,0.8761593,dsgdb9nsd_062652,0.013349376
2.2439425,1.4839854,dsgdb9nsd_012749,0.016316423
1.9392232,1.4479388,dsgdb9nsd_071966,0.015451034
1.8049189,1.7187763,dsgdb9nsd_117238,0.0146767385
1.7717484,1.0826308,dsgdb9nsd_046795,0.015451034
1.8070645,1.533755,dsgdb9nsd_052432,0.0146767385
1.8918537,1.1762836,dsgdb9nsd_074684,0.015451034
2.6029017,1.9102368,dsgdb9nsd_112992,0.021504486
1.1572791,0.8547935,dsgdb9nsd_040429,0.017443249
1.7198244,0.8654455,dsgdb9nsd_018408,0.01830626
2.3783588,1.3246562,dsgdb9nsd_124643,0.019260118
1.9599512,1.7046438,dsgdb9nsd_052476,0.020453855
1.8672676,1.7478948,dsgdb9nsd_044511,0.021504486
1.489957,0.9067437,dsgdb9nsd_014921,0.021504486
1.6772162,1.163055,dsgdb9nsd_100484,0.02031996
1.8713839,1.0777817,dsgdb9nsd_119178,0.017443249
2.194312,1.8135488,dsgdb9nsd_029223,0.020453855
2.3354871,1.329803,dsgdb9nsd_017740,0.019884681
1.8832287,1.3592356,dsgdb9nsd_027684,0.02031996
1.6498269,1.3936999,dsgdb9nsd_117111,0.021504486
2.1883812,1.4847012,dsgdb9nsd_047175,0.022472275
1.7101519,1.0955415,dsgdb9nsd_080944,0.01830626
1.6585288,1.3300555,dsgdb9nsd_039977,0.021504486
1.6858329,1.182562,dsgdb9nsd_064050,0.014902917
2.220109,2.0707028,dsgdb9nsd_049273,0.014049567
2.8234477,1.3451662,dsgdb9nsd_065254,0.014152235
2.0189643,1.2974988,dsgdb9nsd_056600,0.014049567
2.0904148,1.4168617,dsgdb9nsd_086499,0.014152235
1.8808631,1.0311576,dsgdb9nsd_068207,0.014902917
1.824926,1.2852252,dsgdb9nsd_118613,0.014049567
1.9833391,1.0586877,dsgdb9nsd_010963,0.014152235
1.9040196,1.3077185,dsgdb9nsd_074244,0.014681016
2.1245325,1.472649,dsgdb9nsd_031980,0.014049567
1.517978,0.92369306,dsgdb9nsd_103018,0.014234705
1.9368147,1.7388282,dsgdb9nsd_042559,0.017553998
1.3029447,0.68191665,dsgdb9nsd_092131,0.013072597
2.318041,1.6796798,dsgdb9nsd_008626,0.017819459
2.0275624,1.5500885,dsgdb9nsd_033073,0.014234705
1.5752364,1.0159436,dsgdb9nsd_101434,0.014234705
2.802456,1.2805741,dsgdb9nsd_026545,0.025461439
2.4127467,1.3845874,dsgdb9nsd_110519,0.022643624
1.8329637,1.2876931,dsgdb9nsd_040774,0.022643624
1.6057279,0.7956674,dsgdb9nsd_059567,0.017743073
1.9049004,1.2885323,dsgdb9nsd_052153,0.023969656
2.5134451,1.2898464,dsgdb9nsd_057005,0.022643624
1.7666465,1.1326983,dsgdb9nsd_005078,0.023969656
1.5794157,1.0647966,dsgdb9nsd_010958,0.02038937
1.6179895,1.075423,dsgdb9nsd_086501,0.022643624
2.5771668,1.8438116,dsgdb9nsd_034769,0.024865678
1.3388882,0.820112,dsgdb9nsd_057470,0.018544981
2.319908,1.2303735,dsgdb9nsd_071307,0.022643624
2.0047474,0.86728734,dsgdb9nsd_115291,0.016331714
2.6242728,1.30586,dsgdb9nsd_079188,0.02038937
1.5360566,0.96284086,dsgdb9nsd_077041,0.021457175
1.8049927,1.4378248,dsgdb9nsd_010568,0.025461439
2.0263634,1.2652249,dsgdb9nsd_046701,0.030291982
2.363124,1.2438989,dsgdb9nsd_032236,0.02735683
1.7873019,1.4863542,dsgdb9nsd_098161,0.028742874
1.7512068,1.189066,dsgdb9nsd_111227,0.024980752
1.9411216,1.0169667,dsgdb9nsd_067971,0.030291982
1.9652416,1.2987305,dsgdb9nsd_014080,0.033346802
2.8929908,1.2726096,dsgdb9nsd_126127,0.030658342
1.5790535,1.2899657,dsgdb9nsd_081225,0.02735683
1.8364375,0.7410119,dsgdb9nsd_006796,0.02395472
2.3579354,1.696486,dsgdb9nsd_027102,0.030291982
1.3910604,0.6934338,dsgdb9nsd_121930,0.01996459
1.8901641,1.1655896,dsgdb9nsd_112657,0.028742874
2.6190505,1.9531116,dsgdb9nsd_125164,0.030291982
3.3996296,2.8962038,dsgdb9nsd_024961,0.033177096
1.9683464,1.1704429,dsgdb9nsd_009122,0.028742874
2.3858557,1.5721436,dsgdb9nsd_060658,0.028742874
2.369513,1.9801393,dsgdb9nsd_005538,0.026139276
1.8549116,1.1112866,dsgdb9nsd_063616,0.020776868
1.8172734,1.7118301,dsgdb9nsd_045636,0.024547309
1.784413,1.0440681,dsgdb9nsd_054983,0.019771418
1.751852,0.81897837,dsgdb9nsd_112807,0.017279645
2.0743864,1.5908645,dsgdb9nsd_073948,0.024547309
1.8439032,0.7230534,dsgdb9nsd_122953,0.0159507
1.7041309,1.301624,dsgdb9nsd_119134,0.019771418
1.6540754,0.80904466,dsgdb9nsd_106499,0.018861722
1.7757252,1.3219941,dsgdb9nsd_089528,0.019771418
2.6667297,1.3965241,dsgdb9nsd_067048,0.021894036
1.981201,1.2671102,dsgdb9nsd_075485,0.018034728
3.4370105,1.2283008,dsgdb9nsd_126183,0.024547309
2.157326,2.2982774,dsgdb9nsd_125532,0.025252553
2.4323664,1.6155119,dsgdb9nsd_042281,0.023142636
1.870037,1.2957004,dsgdb9nsd_106980,0.023142636
1.9241145,1.2332923,dsgdb9nsd_089810,0.027607705
2.246827,1.2547923,dsgdb9nsd_095058,0.026534835
1.5084149,0.9082341,dsgdb9nsd_104199,0.02303505
1.7650901,1.43482,dsgdb9nsd_056391,0.029140005
1.6966169,1.018439,dsgdb9nsd_039080,0.025103632
1.8922071,0.89143705,dsgdb9nsd_019198,0.026534835
1.5825616,0.90660673,dsgdb9nsd_063204,0.02303505
2.6239512,1.7479824,dsgdb9nsd_022640,0.027723158
1.5098499,1.2102685,dsgdb9nsd_067314,0.027723158
2.0028756,1.1522872,dsgdb9nsd_016128,0.027723158
1.7867366,1.0939598,dsgdb9nsd_093814,0.025103632
1.9258494,1.3136927,dsgdb9nsd_037423,0.027607705
1.602306,0.9870137,dsgdb9nsd_111892,0.02303505
2.3270068,1.9208041,dsgdb9nsd_038018,0.027723158
1.9206157,1.6357996,dsgdb9nsd_069216,0.029140005
1.8650614,1.6553732,dsgdb9nsd_084507,0.027667442
2.0739734,0.8954102,dsgdb9nsd_067592,0.01862408
1.7355036,1.3792382,dsgdb9nsd_035378,0.01968687
1.3943353,0.79609007,dsgdb9nsd_010733,0.018517897
2.8253317,1.7098982,dsgdb9nsd_109098,0.018520666
1.6085294,1.0617276,dsgdb9nsd_047043,0.018895423
1.727916,1.2662504,dsgdb9nsd_044209,0.018895423
2.0556386,1.3675094,dsgdb9nsd_105582,0.019519985
2.1656063,1.3971763,dsgdb9nsd_074106,0.018895423
1.7315203,1.2035857,dsgdb9nsd_091157,0.01862408
1.8534477,1.460295,dsgdb9nsd_027507,0.020562578
2.305318,2.4188914,dsgdb9nsd_044113,0.01968687
2.266062,1.1888134,dsgdb9nsd_017502,0.019350283
1.9514426,1.2587526,dsgdb9nsd_012264,0.018895423
1.9234245,1.3915809,dsgdb9nsd_113725,0.01862408
1.3864557,0.772103,dsgdb9nsd_116181,0.017246423
1.8198118,0.90691984,dsgdb9nsd_106229,0.017246423
2.020897,1.5657644,dsgdb9nsd_085968,0.02571961
2.158795,0.9888679,dsgdb9nsd_110323,0.022139437
1.6350648,0.951755,dsgdb9nsd_117814,0.022139437
1.7074522,1.0964754,dsgdb9nsd_017980,0.025891677
2.0926366,2.1792371,dsgdb9nsd_056100,0.025891677
1.7912927,1.615486,dsgdb9nsd_001385,0.03240483
1.95536,1.0380844,dsgdb9nsd_047829,0.025551906
2.1319506,1.1094741,dsgdb9nsd_038986,0.024400597
1.5609516,1.157342,dsgdb9nsd_061371,0.025891677
1.8899437,1.079373,dsgdb9nsd_066377,0.025891677
1.7336097,0.9855574,dsgdb9nsd_098979,0.024400597
1.5439949,1.0345376,dsgdb9nsd_055647,0.025551906
1.8243904,0.9176118,dsgdb9nsd_058292,0.022139437
2.3761733,1.8684119,dsgdb9nsd_080688,0.025551906
2.7049437,1.0623676,dsgdb9nsd_070150,0.023213489
3.832639,2.488525,dsgdb9nsd_021624,0.03240483
1.8414197,0.91158754,dsgdb9nsd_119084,0.012500916
1.7114764,0.98152375,dsgdb9nsd_089974,0.012586636
1.4980721,1.3462174,dsgdb9nsd_013953,0.01376506
1.8713512,0.8617172,dsgdb9nsd_038972,0.012384154
1.9117047,1.1221287,dsgdb9nsd_015585,0.013575638
2.4110575,1.2847368,dsgdb9nsd_064995,0.012805307
2.714673,1.8840982,dsgdb9nsd_005136,0.014626992
2.3852286,1.0539185,dsgdb9nsd_076196,0.012125371
1.7654229,1.2205831,dsgdb9nsd_070309,0.012384154
2.19926,1.0545666,dsgdb9nsd_077570,0.012384154
1.616514,0.9410833,dsgdb9nsd_083384,0.012384154
2.1860986,1.1337109,dsgdb9nsd_070020,0.012125371
1.3907717,0.7546728,dsgdb9nsd_111323,0.012500916
2.1065922,1.3328874,dsgdb9nsd_017174,0.012805307
1.8693588,1.6676596,dsgdb9nsd_088325,0.012586636
1.4820172,1.2757738,dsgdb9nsd_063293,0.013575638
1.7063355,1.0462606,dsgdb9nsd_039173,0.01636794
1.8384303,1.1702578,dsgdb9nsd_081197,0.01636794
1.9257638,1.2663006,dsgdb9nsd_032423,0.014912537
1.567941,1.1094202,dsgdb9nsd_040725,0.01636794
3.081246,1.5267738,dsgdb9nsd_125837,0.015928026
2.3978407,1.4644098,dsgdb9nsd_096986,0.01531866
1.7885038,1.0240667,dsgdb9nsd_037626,0.015052435
2.0340126,1.1903332,dsgdb9nsd_110192,0.015928026
2.1346343,1.9783918,dsgdb9nsd_035696,0.015052435
2.0540786,1.2217833,dsgdb9nsd_120361,0.01636794
1.5076727,0.7300015,dsgdb9nsd_014795,0.014284068
1.3733296,0.8254577,dsgdb9nsd_100059,0.012700324
1.909752,1.4806509,dsgdb9nsd_069245,0.015052435
1.9629653,1.5224566,dsgdb9nsd_051411,0.01531866
2.126802,1.5945915,dsgdb9nsd_101987,0.01531866
2.5625067,1.5573546,dsgdb9nsd_108627,0.014284068
2.3644137,1.4532613,dsgdb9nsd_030574,0.023958372
1.5489783,0.88391775,dsgdb9nsd_099030,0.019296283
1.7334088,0.9771692,dsgdb9nsd_105918,0.020881394
1.3255662,1.0010796,dsgdb9nsd_019584,0.020881394
2.9351265,1.8710874,dsgdb9nsd_125950,0.023958372
1.8939368,1.5154245,dsgdb9nsd_057074,0.023958372
2.4348176,1.1686704,dsgdb9nsd_103883,0.020881394
2.039342,1.2093749,dsgdb9nsd_105385,0.020881394
2.3821602,1.548828,dsgdb9nsd_106157,0.022818752
1.6643101,1.1317081,dsgdb9nsd_072013,0.023958372
2.7922747,1.6682509,dsgdb9nsd_126632,0.022818752
1.4304557,0.5480833,dsgdb9nsd_002173,0.020051097
2.022995,1.3696806,dsgdb9nsd_033167,0.020051097
2.1406918,1.6291772,dsgdb9nsd_014566,0.027252877
2.267033,1.2382395,dsgdb9nsd_067657,0.02179909
1.6335787,1.1646931,dsgdb9nsd_052445,0.022818752
2.386483,1.8596042,dsgdb9nsd_027713,0.04106866
1.8546972,1.1520188,dsgdb9nsd_094653,0.03046272
2.347548,1.3118699,dsgdb9nsd_076593,0.033956442
