offset,distance,delta_E_total,delta_E_spooky,delta_E_mbd,E_elec,E_rep,E_neural,q_max_abs,q_rms,q_net_monA,q_net_monB
0.0,2.0,574.3048074702867,575.2078773294029,-0.9030698591161112,-6.1263865511103415,1.0006701127374147e-32,425.34239317189565,0.39394388,0.2647156,-0.1467846,0.13197717
0.0,2.2,95.82279798501372,96.26625741247707,-0.4434594274633411,-8.343860545901459,3.4290130290712825e-32,-51.381752750239045,0.44149992,0.32553935,-0.3047927,0.56407464
0.0,2.4,-206.87962274439147,-206.67690890404862,-0.2027138403428349,-2.2708734171126386,1.2727473874133011e-31,-360.39790619555356,0.3703049,0.2026444,-0.3350948,0.0060460865
0.0,2.6,-123.88281420596823,-123.81810718628907,-0.0647070196791828,-1.7643150441616349,5.053177575490395e-31,-278.045662850745,0.3679255,0.17310077,-0.16584048,-0.1039975
0.0,2.8,-13.94324093312946,-13.828453381671096,-0.11478755145836272,-0.9567261195376321,2.1201650429824962e-30,-168.86359797075104,0.23936237,0.11571732,-0.06887401,-0.062394723
0.0,3.0,80.09464239372086,80.23689088930085,-0.1422484955799984,0.0034331108637390036,9.293323736769923e-30,-75.75841293018046,0.18164514,0.09718689,-0.14617495,-0.11128493
0.0,3.2,119.38802305714718,119.64917885578562,-0.2611557986384462,0.46394572087655156,4.2107440450946974e-29,-36.8066375737085,0.1618201,0.09160499,-0.23437943,-0.076725364
0.0,3.4000000000000004,121.27773394952754,121.54654118504146,-0.2688072355139305,0.2818075190572158,1.9532334262181495e-28,-34.727137042633316,0.13272631,0.08719767,-0.2479912,-0.026473477
0.0,3.6,144.32731134525366,144.5638139425269,-0.23650259727324763,-0.2788143176711309,9.195648490001023e-28,-11.149242448419542,0.13751027,0.0942196,-0.2224501,0.03321004
0.0,3.8,176.97991980600344,177.19365554335695,-0.21373573735352136,-0.8776770301983685,4.359545099896177e-27,22.07946186493775,0.17408755,0.10915137,-0.15914477,0.05462247
0.0,4.0,209.75236651236213,209.9807499956654,-0.22838348330327385,-0.8639716475226853,2.0667329710880185e-26,54.852850934570505,0.20284174,0.12860702,-0.2362671,0.023216322
0.0,4.2,197.54111672719102,197.66484675852564,-0.1237300313346148,-0.7640455535570391,9.735556095432729e-26,42.43702160346511,0.21245524,0.13174993,-0.25186715,0.0038857162
0.0,4.4,188.16433992295723,188.2548595478077,-0.09051962485048037,-0.6273143084705853,4.531167390966104e-25,32.89030314766073,0.20930514,0.14209522,-0.3198192,0.033764303
0.0,4.6,196.91411938321252,196.99828358170507,-0.0841641984925442,-0.19550302673555206,2.073133461749874e-24,41.20191589982305,0.21653223,0.1236159,-0.3289879,0.08358461
0.0,4.800000000000001,182.1797796850514,182.27093537120487,-0.09115568615346725,0.14466783875661918,9.282027630061377e-24,26.13439682383067,0.18345949,0.09495687,-0.28909212,0.16018407
