# delta_A r_A E_eV F_stretch
-8.000000000000000167e-02 8.796501301212963364e-01 -1.842606906213331897e+01 6.723711502659959649e+00
-7.000000000000000666e-02 8.896501301212960122e-01 -1.845610522337211634e+01 5.282427220977078619e+00
-5.999999999999999778e-02 8.996501301212962431e-01 -1.847945932414636516e+01 4.057823455890188669e+00
-5.000000000000000278e-02 9.096501301212962520e-01 -1.849716284806090982e+01 3.029878889423738730e+00
-4.000000000000000083e-02 9.196501301212960389e-01 -1.851014071519070114e+01 2.175864261393892995e+00
-2.999999999999999889e-02 9.296501301212961588e-01 -1.851919911441007827e+01 1.471182159729109484e+00
-2.000000000000000389e-02 9.396501301212959456e-01 -1.852502057979300787e+01 8.903186569300566289e-01
-9.999999999999995004e-03 9.496501301212960655e-01 -1.852815790018960485e+01 4.077914435757389322e-01
0.000000000000000000e+00 9.596501301212961854e-01 -1.852903966167507832e+01 -9.988391777955444098e-04
9.999999999999995004e-03 9.696501301212963053e-01 -1.852797473671568085e+01 -3.590700068408342327e-01
2.000000000000000389e-02 9.796501301212963142e-01 -1.852516285053537359e+01 -6.873276256779788929e-01
2.999999999999999889e-02 9.896501301212962121e-01 -1.852070476265051724e+01 -1.004186500348543731e+00
3.999999999999999389e-02 9.996501301212962209e-01 -1.851461470285643429e+01 -1.325315777224743030e+00
5.000000000000000278e-02 1.009650130121295897e+00 -1.850683771901179142e+01 -1.663484786953999706e+00
6.000000000000001166e-02 1.019650130121296128e+00 -1.849726217021665065e+01 -2.028499548901677052e+00
6.999999999999999278e-02 1.029650130121296359e+00 -1.848573169151160656e+01 -2.427226588607427349e+00
8.000000000000000167e-02 1.039650130121296145e+00 -1.847206632007972615e+01 -2.863698510844171263e+00
