# delta_A r_A E_eV F_stretch
-8.000000000000000167e-02 8.764527568482869402e-01 -1.841809769823452925e+01 7.053575938420041602e+00
-7.000000000000000666e-02 8.864527568482867270e-01 -1.844998695799452904e+01 5.546636062353932140e+00
-5.999999999999999778e-02 8.964527568482868469e-01 -1.847488044063616641e+01 4.261730533073450289e+00
-5.000000000000000278e-02 9.064527568482868558e-01 -1.849383892010619235e+01 3.180258021736919627e+00
-4.000000000000000083e-02 9.164527568482868647e-01 -1.850782294743476797e+01 2.280359273978727064e+00
-2.999999999999999889e-02 9.264527568482869846e-01 -1.851767895926214180e+01 1.537859101629939662e+00
-2.000000000000000389e-02 9.364527568482869935e-01 -1.852412722576461945e+01 9.272872159224001543e-01
-9.999999999999995004e-03 9.464527568482868913e-01 -1.852775899922093217e+01 4.228728055116813267e-01
0.000000000000000000e+00 9.564527568482870112e-01 -1.852903966167507832e+01 -5.627843983402425025e-04
9.999999999999995004e-03 9.664527568482871311e-01 -1.852831000698339636e+01 -3.668570467392333057e-01
2.000000000000000389e-02 9.764527568482870290e-01 -1.852579874464204579e+01 -6.979111525971861685e-01
2.999999999999999889e-02 9.864527568482870379e-01 -1.852162780982895995e+01 -1.013235582505039867e+00
3.999999999999999389e-02 9.964527568482871578e-01 -1.851583189349033987e+01 -1.329614064449733846e+00
5.000000000000000278e-02 1.006452756848287278e+00 -1.850836534912719245e+01 -1.660868635961548545e+00
6.000000000000001166e-02 1.016452756848287065e+00 -1.849912512227513517e+01 -2.017721108809548358e+00
6.999999999999999278e-02 1.026452756848287073e+00 -1.848796032171923898e+01 -2.407756032619807307e+00
8.000000000000000167e-02 1.036452756848287082e+00 -1.847468907190672027e+01 -2.835489809014451801e+00
