# delta_A r_A E_eV F_stretch
-8.000000000000000167e-02 8.928042689869331028e-01 -1.844184470152155697e+01 5.608580222662014947e+00
-7.000000000000000666e-02 9.028042689869330006e-01 -1.846667489254302197e+01 4.428182264460692075e+00
-5.999999999999999778e-02 9.128042689869330095e-01 -1.848609971879481861e+01 3.434100539580469569e+00
-5.000000000000000278e-02 9.228042689869330184e-01 -1.850098883893650381e+01 2.602534624244928985e+00
-4.000000000000000083e-02 9.328042689869332493e-01 -1.851208680683136976e+01 1.908132614415073425e+00
-2.999999999999999889e-02 9.428042689869331472e-01 -1.852001110217254620e+01 1.325239197140166469e+00
-2.000000000000000389e-02 9.528042689869331561e-01 -1.852525043009550743e+01 8.289497948583441911e-01
-9.999999999999995004e-03 9.628042689869330539e-01 -1.852817431220388400e+01 3.959333445801057616e-01
0.000000000000000000e+00 9.728042689869331738e-01 -1.852903966167507832e+01 5.040729091292676413e-03
9.999999999999995004e-03 9.828042689869330717e-01 -1.852800510591305283e+01 -3.622603903114438029e-01
2.000000000000000389e-02 9.928042689869333026e-01 -1.852514256408320747e+01 -7.215917429396752070e-01
2.999999999999999889e-02 1.002804268986933200e+00 -1.852044642742957947e+01 -1.088751939184808393e+00
3.999999999999999389e-02 1.012804268986933209e+00 -1.851381112137127616e+01 -1.476295430932444974e+00
5.000000000000000278e-02 1.022804268986933218e+00 -1.850508372243092836e+01 -1.890759702757454308e+00
6.000000000000001166e-02 1.032804268986933227e+00 -1.849408352677473388e+01 -2.335658693916918160e+00
6.999999999999999278e-02 1.042804268986933014e+00 -1.848062168274177708e+01 -2.811871487326390806e+00
8.000000000000000167e-02 1.052804268986933023e+00 -1.846450977649491065e+01 -3.318597760029902144e+00
