# delta_A r_A E_eV F_stretch
-8.000000000000000167e-02 8.743228649975715028e-01 -1.841625936127670471e+01 7.480346130231018797e+00
-7.000000000000000666e-02 8.843228649975714006e-01 -1.844952979261481474e+01 5.863105082290693382e+00
-5.999999999999999778e-02 8.943228649975714095e-01 -1.847531632434495563e+01 4.481744535569161414e+00
-5.000000000000000278e-02 9.043228649975714184e-01 -1.849475467243333782e+01 3.319948539894987505e+00
-4.000000000000000083e-02 9.143228649975714273e-01 -1.850888569401731587e+01 2.357140957016157223e+00
-2.999999999999999889e-02 9.243228649975714362e-01 -1.851864148422280110e+01 1.569416308083243061e+00
-2.000000000000000389e-02 9.343228649975714450e-01 -1.852482608067577985e+01 9.306837087528820884e-01
-9.999999999999995004e-03 9.443228649975714539e-01 -1.852811327187410484e+01 4.138861705769513177e-01
0.000000000000000000e+00 9.543228649975714628e-01 -1.852903966167507832e+01 -7.855711746238020626e-03
9.999999999999995004e-03 9.643228649975713607e-01 -1.852801001506658451e+01 -3.602936473452779120e-01
2.000000000000000389e-02 9.743228649975714806e-01 -1.852530514675812157e+01 -6.673404382949277291e-01
2.999999999999999889e-02 9.843228649975714895e-01 -1.852109341842731993e+01 -9.505736719165074344e-01
3.999999999999999389e-02 9.943228649975714983e-01 -1.851543987024576410e+01 -1.228895996173779981e+00
5.000000000000000278e-02 1.004322864997571507e+00 -1.850832303859336037e+01 -1.518296432122810513e+00
6.000000000000001166e-02 1.014322864997571516e+00 -1.849964969820815952e+01 -1.831680885633579114e+00
6.999999999999999278e-02 1.024322864997571525e+00 -1.848927077518850837e+01 -2.178766408907384378e+00
8.000000000000000167e-02 1.034322864997571534e+00 -1.847699522415355489e+01 -2.566050138028359573e+00
