# delta_A r_A E_eV F_stretch
-8.000000000000000167e-02 8.771997478572588491e-01 -8.995186134787342525e+00 5.521225803948665245e+00
-7.000000000000000666e-02 8.871997478572587470e-01 -9.018753139493037807e+00 4.052844717331883118e+00
-5.999999999999999778e-02 8.971997478572587559e-01 -9.035731690001249206e+00 2.867071930592762552e+00
-5.000000000000000278e-02 9.071997478572587648e-01 -9.047467275622082639e+00 1.938136209494582429e+00
-4.000000000000000083e-02 9.171997478572587736e-01 -9.055164635474302059e+00 1.235898989341507770e+00
-2.999999999999999889e-02 9.271997478572587825e-01 -9.059869152682603399e+00 7.273488161636719740e-01
-2.000000000000000389e-02 9.371997478572587914e-01 -9.062457196802821358e+00 3.779490208152581632e-01
-9.999999999999995004e-03 9.471997478572588003e-01 -9.063631268088752080e+00 1.528589720988955680e-01
0.000000000000000000e+00 9.571997478572589202e-01 -9.063921093235000725e+00 1.802180683976296882e-02
9.999999999999995004e-03 9.671997478572588181e-01 -9.063690115938703329e+00 -5.891005509039831667e-02
2.000000000000000389e-02 9.771997478572588269e-01 -9.063146703132398230e+00 -1.078289086164441052e-01
2.999999999999999889e-02 9.871997478572588358e-01 -9.062355774430296051e+00 -1.555953936983971997e-01
3.999999999999999389e-02 9.971997478572588447e-01 -9.061257969105096066e+00 -2.256018209621747928e-01
5.000000000000000278e-02 1.007199747857258965e+00 -9.059684765199349954e+00 -3.374431624935765317e-01
6.000000000000001166e-02 1.017199747857258751e+00 -9.057381253763939100e+00 -5.066752965684002685e-01
6.999999999999999278e-02 1.027199747857258760e+00 -9.054023227831038412e+00 -7.446593023128081912e-01
8.000000000000000167e-02 1.037199747857258769e+00 -9.049241607305910762e+00 -1.058507583589243239e+00
