# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.774096671348724508e-01 -2.338048985163019822e+01 1.344059988125072325e+00
-7.000000000000000666e-02 8.874096671348723486e-01 -2.338474559141997489e+01 7.671472453288424864e-01
-5.999999999999999778e-02 8.974096671348724685e-01 -2.338620964306004169e+01 3.119456385667233600e-01
-5.000000000000000278e-02 9.074096671348723664e-01 -2.338546255625308490e+01 -7.904619347118405082e-02
-4.000000000000000083e-02 9.174096671348723753e-01 -2.338268171488527614e+01 -4.665633347399299469e-01
-2.999999999999999889e-02 9.274096671348723842e-01 -2.337790717374192795e+01 -8.440001756159020152e-01
-2.000000000000000042e-02 9.374096671348723930e-01 -2.337127077876202108e+01 -1.187336213740051383e+00
-1.000000000000000021e-02 9.474096671348724019e-01 -2.336299092182942161e+01 -1.486629760212180962e+00
0.000000000000000000e+00 9.574096671348724108e-01 -2.335330196887347398e+01 -1.743468842465187629e+00
1.000000000000000021e-02 9.674096671348724197e-01 -2.334241682815203944e+01 -1.962996500595590721e+00
2.000000000000000042e-02 9.774096671348724286e-01 -2.333051979769413009e+01 -2.150560369127719529e+00
2.999999999999999889e-02 9.874096671348724374e-01 -2.331776751897419331e+01 -2.311082760117094015e+00
4.000000000000000083e-02 9.974096671348724463e-01 -2.330429112267930591e+01 -2.449126450133003008e+00
5.000000000000000278e-02 1.007409667134872455e+00 -2.329020052024359799e+01 -2.568967550768167740e+00
5.999999999999999778e-02 1.017409667134872464e+00 -2.327558201966241924e+01 -2.674612434249126647e+00
7.000000000000000666e-02 1.027409667134872473e+00 -2.326050309386392811e+01 -2.770139456282754598e+00
8.000000000000000167e-02 1.037409667134872482e+00 -2.324500522815167969e+01 -2.861553887971529875e+00
