# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.774096671348725618e-01 -2.338040127556715220e+01 1.345504082159668657e+00
-7.000000000000000666e-02 8.874096671348723486e-01 -2.338466775832457856e+01 7.686008063530056500e-01
-5.999999999999999778e-02 8.974096671348724685e-01 -2.338614264737664428e+01 3.134086453532043404e-01
-5.000000000000000278e-02 9.074096671348723664e-01 -2.338540649221180701e+01 -7.757376232424965934e-02
-4.000000000000000083e-02 9.174096671348723753e-01 -2.338263667650023336e+01 -4.650815008080637636e-01
-2.999999999999999889e-02 9.274096671348723842e-01 -2.337787325480949008e+01 -8.425089606473158410e-01
-2.000000000000000042e-02 9.374096671348723930e-01 -2.337124807285906058e+01 -1.185835639654672979e+00
-1.000000000000000021e-02 9.474096671348724019e-01 -2.336297952231159059e+01 -1.485119849100675848e+00
0.000000000000000000e+00 9.574096671348724108e-01 -2.335330196887347398e+01 -1.741949616587970429e+00
1.000000000000000021e-02 9.674096671348724197e-01 -2.334242832057791261e+01 -1.961467982381832176e+00
2.000000000000000042e-02 9.774096671348724286e-01 -2.333054287522755388e+01 -2.149022581174346858e+00
2.999999999999999889e-02 9.874096671348724374e-01 -2.331780227406879291e+01 -2.309535725187782607e+00
4.000000000000000083e-02 9.974096671348724463e-01 -2.330433764755896675e+01 -2.447570191157169450e+00
5.000000000000000278e-02 1.007409667134872455e+00 -2.329025890690079592e+01 -2.567402090839943529e+00
5.999999999999999778e-02 1.017409667134872464e+00 -2.327565235985655434e+01 -2.673037796626338558e+00
7.000000000000000666e-02 1.027409667134872473e+00 -2.326058547911967977e+01 -2.768555664385891291e+00
8.000000000000000167e-02 1.037409667134872482e+00 -2.324509974975736526e+01 -2.859960965382704057e+00
