# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 9.295836053507973151e-01 -2.246579077867822605e+01 2.172175631317431765e+01
-7.000000000000000666e-02 9.395836053507969909e-01 -2.259174029225770752e+01 1.831227057576757034e+01
-5.999999999999999778e-02 9.495836053507969998e-01 -2.269463013247500882e+01 1.464382928373941084e+01
-5.000000000000000278e-02 9.595836053507970087e-01 -2.277543829024311250e+01 1.135932986610094098e+01
-4.000000000000000083e-02 9.695836053507971286e-01 -2.283742057873136133e+01 8.496232039926461255e+00
-2.999999999999999889e-02 9.795836053507971375e-01 -2.288362162074647443e+01 6.123184184683612585e+00
-2.000000000000000042e-02 9.895836053507972574e-01 -2.291647661226229715e+01 4.085262192058723762e+00
-1.000000000000000021e-02 9.995836053507972663e-01 -2.293667245036971636e+01 2.097472293996231141e+00
0.000000000000000000e+00 1.009583605350796942e+00 -2.294363516808277481e+01 1.072760344430144611e-04
1.000000000000000021e-02 1.019583605350797173e+00 -2.293621367457157945e+01 -2.320065659830256255e+00
2.000000000000000042e-02 1.029583605350797182e+00 -2.291261867444401545e+01 -4.946553745146748504e+00
2.999999999999999889e-02 1.039583605350797413e+00 -2.287149621968259794e+01 -7.590655878549168456e+00
4.000000000000000083e-02 1.049583605350797200e+00 -2.281457792222659720e+01 -9.767066835427723248e+00
5.000000000000000278e-02 1.059583605350797209e+00 -2.274444358420587520e+01 -1.174327878464297292e+01
5.999999999999999778e-02 1.069583605350797217e+00 -2.266195576267187661e+01 -1.341252197356862652e+01
7.000000000000000666e-02 1.079583605350797226e+00 -2.256975469458821237e+01 -1.465486587132510543e+01
8.000000000000000167e-02 1.089583605350797013e+00 -2.246708169801030763e+01 -1.658076450797997836e+01
