# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.588059427290558601e-01 -2.276590573972260856e+01 3.658385013989737367e+00
-7.000000000000000666e-02 8.688059427290558689e-01 -2.281619346002300475e+01 2.732989629874758020e+00
-5.999999999999999778e-02 8.788059427290557668e-01 -2.285738934707303116e+01 2.058836263701466773e+00
-5.000000000000000278e-02 8.888059427290557757e-01 -2.288855972698891961e+01 1.776328460423586719e+00
-4.000000000000000083e-02 8.988059427290557846e-01 -2.291081247461819714e+01 1.570927567512961920e+00
-2.999999999999999889e-02 9.088059427290557934e-01 -2.292630328871458900e+01 1.243246050401479508e+00
-2.000000000000000042e-02 9.188059427290558023e-01 -2.293638890522170470e+01 8.175603770022853434e-01
-1.000000000000000021e-02 9.288059427290557002e-01 -2.294193418378366900e+01 3.855726642460798881e-01
0.000000000000000000e+00 9.388059427290557091e-01 -2.294363516808277481e+01 2.998810618050770042e-04
1.000000000000000021e-02 9.488059427290557180e-01 -2.294212303928450680e+01 -3.248863121494023343e-01
2.000000000000000042e-02 9.588059427290558379e-01 -2.293795601253157201e+01 -5.960788719407920100e-01
2.999999999999999889e-02 9.688059427290558467e-01 -2.293159573601160872e+01 -8.278713013599063864e-01
4.000000000000000083e-02 9.788059427290557446e-01 -2.292339370338685001e+01 -1.037665176882171414e+00
5.000000000000000278e-02 9.888059427290558645e-01 -2.291359578581828416e+01 -1.241885113023961651e+00
5.999999999999999778e-02 9.988059427290556513e-01 -2.290235081688916097e+01 -1.453655691124597249e+00
7.000000000000000666e-02 1.008805942729055660e+00 -2.288972847563807278e+01 -1.682064329150829707e+00
8.000000000000000167e-02 1.018805942729055669e+00 -2.287573073207705932e+01 -1.932912776469418503e+00
