# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.257605009309444410e-01 -2.315156640389095344e+01 4.182616942575570107e+01
-7.000000000000000666e-02 8.357605009309444499e-01 -2.333006273470794056e+01 2.624683297821929528e+01
-5.999999999999999778e-02 8.457605009309445698e-01 -2.340648202480759110e+01 4.759605131913439813e+00
-5.000000000000000278e-02 8.557605009309444677e-01 -2.341713504972119253e+01 3.725800755135922487e-02
-4.000000000000000083e-02 8.657605009309443655e-01 -2.342427545695397839e+01 1.975150330312307467e+00
-2.999999999999999889e-02 8.757605009309443744e-01 -2.343724571234627874e+01 2.253568256687728866e+00
-2.000000000000000042e-02 8.857605009309444943e-01 -2.344798143246480393e+01 1.465424790455561954e+00
-1.000000000000000021e-02 8.957605009309443922e-01 -2.345365590470609263e+01 5.836815044067860114e-01
0.000000000000000000e+00 9.057605009309445121e-01 -2.345517314111261342e+01 -3.114484696895468419e-02
1.000000000000000021e-02 9.157605009309444100e-01 -2.345387283925235877e+01 -4.701782515578715738e-01
2.000000000000000042e-02 9.257605009309445299e-01 -2.345042794595581981e+01 -8.426309153455946444e-01
2.999999999999999889e-02 9.357605009309445387e-01 -2.344509703383660693e+01 -1.186740017014240589e+00
4.000000000000000083e-02 9.457605009309445476e-01 -2.343803340940004531e+01 -1.504641730656475662e+00
5.000000000000000278e-02 9.557605009309445565e-01 -2.342939383234240225e+01 -1.792689303102441789e+00
5.999999999999999778e-02 9.657605009309444544e-01 -2.341934567025358760e+01 -2.049939006342187398e+00
7.000000000000000666e-02 9.757605009309444632e-01 -2.340805330929664052e+01 -2.277808760889319384e+00
8.000000000000000167e-02 9.857605009309444721e-01 -2.339566945155312538e+01 -2.478836650452680423e+00
