r1,r2,ang,level,atom_index,atom,scheme,value
1.021,1.026,120.0,mp2,2,O,CM5,-0.2732610065
1.021,1.026,120.0,mp2,0,C,MBIS,1.2534370552
1.021,1.026,120.0,mp2,1,O,MBIS,-0.6232248045
1.021,1.026,120.0,mp2,2,O,MBIS,-0.6302122507
1.021,1.026,120.0,mp2,0,C,MBIS_raw,1.25343705
1.021,1.026,120.0,mp2,1,O,MBIS_raw,-0.62322481
1.021,1.026,120.0,mp2,2,O,MBIS_raw,-0.63021226
1.0,1.053,120.0,hf,0,C,Hirshfeld,0.4229361204
1.0,1.053,120.0,hf,1,O,Hirshfeld,-0.1840500505
1.0,1.053,120.0,hf,2,O,Hirshfeld,-0.2388860699
1.0,1.053,120.0,hf,0,C,VDD,0.435280642
1.0,1.053,120.0,hf,1,O,VDD,-0.1826480271
1.0,1.053,120.0,hf,2,O,VDD,-0.2526326149
1.0,1.053,120.0,hf,0,C,Becke,0.7428951337
1.0,1.053,120.0,hf,1,O,Becke,-0.3272174277
1.0,1.053,120.0,hf,2,O,Becke,-0.415677706
1.0,1.053,120.0,hf,0,C,ADCH,0.742876902
1.0,1.053,120.0,hf,1,O,ADCH,-0.3272275972
1.0,1.053,120.0,hf,2,O,ADCH,-0.4156493048
1.0,1.053,120.0,hf,0,C,CHELPG,0.8974401408
1.0,1.053,120.0,hf,1,O,CHELPG,-0.4073624264
1.0,1.053,120.0,hf,2,O,CHELPG,-0.4900777144
1.0,1.053,120.0,hf,0,C,MK,0.8181158716
1.0,1.053,120.0,hf,1,O,MK,-0.3659489411
1.0,1.053,120.0,hf,2,O,MK,-0.4521669305
1.0,1.053,120.0,hf,0,C,CM5,0.5411000681
1.0,1.053,120.0,hf,1,O,CM5,-0.2469999574
1.0,1.053,120.0,hf,2,O,CM5,-0.2941001107
1.0,1.053,120.0,hf,0,C,MBIS,1.2475653876
1.0,1.053,120.0,hf,1,O,MBIS,-0.5871174055
1.0,1.053,120.0,hf,2,O,MBIS,-0.6604479821
1.0,1.053,120.0,hf,0,C,MBIS_raw,1.2475652
1.0,1.053,120.0,hf,1,O,MBIS_raw,-0.58711775
1.0,1.053,120.0,hf,2,O,MBIS_raw,-0.66044833
1.0,1.053,120.0,mp2,0,C,Hirshfeld,0.4229361204
1.0,1.053,120.0,mp2,1,O,Hirshfeld,-0.1840500505
1.0,1.053,120.0,mp2,2,O,Hirshfeld,-0.2388860699
1.0,1.053,120.0,mp2,0,C,VDD,0.435280642
1.0,1.053,120.0,mp2,1,O,VDD,-0.1826480271
1.0,1.053,120.0,mp2,2,O,VDD,-0.2526326149
1.0,1.053,120.0,mp2,0,C,Becke,0.7428951337
1.0,1.053,120.0,mp2,1,O,Becke,-0.3272174277
1.0,1.053,120.0,mp2,2,O,Becke,-0.415677706
1.0,1.053,120.0,mp2,0,C,ADCH,0.742876902
1.0,1.053,120.0,mp2,1,O,ADCH,-0.3272275972
1.0,1.053,120.0,mp2,2,O,ADCH,-0.4156493048
1.0,1.053,120.0,mp2,0,C,CHELPG,0.8974401408
1.0,1.053,120.0,mp2,1,O,CHELPG,-0.4073624264
1.0,1.053,120.0,mp2,2,O,CHELPG,-0.4900777144
1.0,1.053,120.0,mp2,0,C,MK,0.8181158716
1.0,1.053,120.0,mp2,1,O,MK,-0.3659489411
1.0,1.053,120.0,mp2,2,O,MK,-0.4521669305
1.0,1.053,120.0,mp2,0,C,CM5,0.5411000681
1.0,1.053,120.0,mp2,1,O,CM5,-0.2469999574
