offset,distance,delta_E_total,delta_E_spooky,delta_E_mbd,E_elec,E_rep,E_neural,q_max_abs,q_rms,q_net_monA,q_net_monB
0.0,2.0,133.79213044194898,134.69520030106509,-0.9030698591161112,-1.9854505779445801,1.0006701127374147e-32,46.06053039202263,0.21433166,0.163474,0.11012465,0.03029032
0.0,2.2,98.14591726208576,98.5893766895491,-0.4434594274633411,-2.1623461188855684,3.4290130290712825e-32,10.13160232144762,0.24472977,0.16575716,0.027012438,-0.10314377
0.0,2.4,78.04727601324444,78.24998985358727,-0.2027138403428349,-2.062539264163194,1.2727473874133011e-31,-10.30759136923659,0.26793638,0.1721189,-0.008709192,-0.1480594
0.0,2.6,66.60022887627272,66.6649358959519,-0.0647070196791828,-2.1067955793799507,5.053177575490395e-31,-21.848389011655193,0.27368185,0.17527966,-0.019639045,-0.14989135
0.0,2.8,58.63254988095468,58.74733743241303,-0.11478755145836272,-2.175619474072481,2.1201650429824962e-30,-29.69716358050153,0.279527,0.17781891,-0.03063006,-0.1449745
0.0,3.0,52.11545566621217,52.25770416179216,-0.1422484955799984,-2.219747100250029,9.293323736769923e-30,-36.142669224944854,0.28544503,0.17938326,-0.041200966,-0.14030835
0.0,3.2,47.90951643141249,48.17067223005093,-0.2611557986384462,-2.248740620513528,4.2107440450946974e-29,-40.200707636422585,0.28609905,0.17971978,-0.04405631,-0.13721833
0.0,3.4000000000000004,47.34294014786758,47.611747383381505,-0.2688072355139305,-2.281444989734063,1.9532334262181495e-28,-40.72692811387148,0.28339255,0.17969,-0.041242853,-0.13508761
0.0,3.6,46.643067724367555,46.8795703216408,-0.23650259727324763,-2.305319813260454,9.195648490001023e-28,-41.435230352085796,0.27971712,0.17923892,-0.03723204,-0.13262624
0.0,3.8,43.12175012787495,43.33548586522846,-0.21373573735352136,-2.318315688075776,4.359545099896177e-27,-44.96631893368281,0.27668932,0.17863268,-0.03356582,-0.13065451
0.0,4.0,38.5135366467024,38.74192013000567,-0.22838348330327385,-2.3332872574997174,2.0667329710880185e-26,-49.54491309948166,0.2739789,0.17786844,-0.029872961,-0.12696841
0.0,4.2,34.0723035665677,34.19603359790231,-0.1237300313346148,-2.372868157316025,9.735556095432729e-26,-54.051218731768714,0.27138513,0.17735574,-0.02413547,-0.12005168
