offset,distance,delta_E_total,delta_E_spooky,delta_E_mbd,E_elec,E_rep,E_neural,q_max_abs,q_rms,q_net_monA,q_net_monB
0.0,2.0,314.8200012485359,317.24912922662446,-2.4291279780885464,18.599598307617267,3.758836233883287e-32,23.135959445416614,0.2575383,0.16290952,0.750905,0.58362013
0.0,2.2,264.3626758759654,266.58577814105325,-2.2231022650878263,14.509696386942881,1.2391540247722716e-31,-23.437489719480183,0.23305814,0.16065568,0.69182324,0.5325569
0.0,2.4,229.33565642170623,231.49033289639135,-2.1546764746851057,10.820852740167076,4.402474876425784e-31,-54.8440913173663,0.20809565,0.15777995,0.58203775,0.5235525
0.0,2.6,213.53689411875447,215.49236031346098,-1.9554661947064886,9.33763682399636,1.6660890145403822e-30,-69.35884798412594,0.1882119,0.15490574,0.50971144,0.5441538
0.0,2.8,191.52881877794704,193.4216670859872,-1.892848308040148,8.344628900218332,6.642108354719565e-30,-90.4365332878217,0.18876185,0.15335706,0.46189624,0.5570099
0.0,3.0,168.14002504813124,169.99380997304127,-1.8537849249100269,7.196338493321918,2.7606877885590194e-29,-112.7160999938712,0.18528384,0.151184,0.41993198,0.5532619
0.0,3.2,146.01436806903558,147.80440806538394,-1.7900399963483746,6.295323473913589,1.184733515296687e-28,-134.0044868821202,0.17849165,0.14808814,0.39593667,0.53800124
0.0,3.4000000000000004,125.2577933318791,126.90114606419772,-1.643352732318613,5.689416647250368,5.203286895660605e-28,-154.3018420566432,0.17108488,0.14567553,0.3865199,0.5214778
0.0,3.6,108.50404385169256,110.06297597399072,-1.5589321222981622,5.275681558010177,2.3199552447603604e-27,-170.72627705761002,0.16684514,0.14529917,0.3799944,0.51440907
0.0,3.8,97.33770652023068,98.76175127629958,-1.42404475606889,4.863379745091849,1.042366446886463e-26,-181.61519994238284,0.16692302,0.14643398,0.37063217,0.5129602
0.0,4.0,89.54431733478876,90.78890002773431,-1.2445826929455666,4.333024208755606,4.688163881576858e-26,-189.05769565461185,0.16765794,0.14745863,0.35918558,0.50674903
0.0,4.2,82.5429959466473,83.76039609556605,-1.2174001489187605,3.7277565319266373,2.0979017035622265e-25,-195.48093190995115,0.16624239,0.14738505,0.3471101,0.49337998
0.0,4.4,75.2277571749934,76.32092294352094,-1.0931657685275455,3.1579719797669568,9.290015716702062e-25,-202.35062050983657,0.17079155,0.14631635,0.33560583,0.4770967
0.0,4.6,69.19887573500776,70.14527855792636,-0.9464028229186074,2.693596464989765,4.0509334597853634e-24,-208.06188938065395,0.17587984,0.14526694,0.3290767,0.46060687
0.0,4.800000000000001,66.19735131322551,66.95864517526945,-0.7612938620439476,2.2586768232190746,1.7318046769993608e-23,-210.81360312154018,0.17892893,0.14463852,0.32771572,0.4404564
