val_rmse_mean,val_rmse_std,val_mae_mean,val_r2_mean,train_rmse_mean,train_mae_mean,train_r2_mean,n_folds,n_samples,model,scheme,level,atom_index,note
0.18895338641683468,0.05372587699418903,0.1680936600383844,-3.8386504601027127,0.18919964434916134,0.1673832925997128,-3.5582917856642466,5,510,FlaxMLP,ADCH,hf,0,
0.03587731698217535,0.0055843515651694976,0.01310745549281046,0.8416196363946817,,,,5,510,KNN,ADCH,hf,0,
0.06505208322774605,0.0037092325474496887,0.05612886924858938,0.4816923226792141,,,,5,510,SVR,ADCH,hf,0,
0.008250045027301178,0.0040819210893172355,0.004829805650196077,0.9896458509212582,,,,5,510,DecisionTree,ADCH,hf,0,
0.005609884415790852,0.002466495449681684,0.002709219705792098,0.9951901539552589,,,,5,510,RandomForest,ADCH,hf,0,
0.006643676425244107,0.0022982704852477923,0.002987870165934562,0.9937790814152132,,,,5,510,GradientBoosting,ADCH,hf,0,
0.08378589634222458,0.022321788297274138,0.0679638418933858,0.25164408520306514,0.08823949661343089,0.07141200925751179,0.1914684630439401,5,510,FlaxMLP,ADCH,hf,1,
0.01994254505449903,0.0034367904415694016,0.009043096626209151,0.9605871849066172,,,,5,510,KNN,ADCH,hf,1,
0.05471764870994975,0.0017984934196259039,0.04636689377098639,0.7049645843936629,,,,5,510,SVR,ADCH,hf,1,
0.005892877810959528,0.001149156578351633,0.0037860045886274514,0.9964600062020764,,,,5,510,DecisionTree,ADCH,hf,1,
0.006808487704551632,0.0027316063063469267,0.0030259865539901997,0.9951038131514203,,,,5,510,RandomForest,ADCH,hf,1,
0.004487061345955317,0.001298138471164187,0.0022111465285122333,0.9978822439290503,,,,5,510,GradientBoosting,ADCH,hf,1,
0.08711547128357926,0.022905238380359953,0.07186877573126449,-2.9047805582960047,0.08779279451246932,0.07218689397682598,-2.838566263929541,5,510,FlaxMLP,ADCH,hf,2,
0.01686433046426624,0.0020376579171065227,0.00686541925372549,0.8570745655044172,,,,5,510,KNN,ADCH,hf,2,
0.07677934780941614,0.0008431712383990883,0.07248691088375663,-1.8815159366314014,,,,5,510,SVR,ADCH,hf,2,
0.004005224862200224,0.0004975026702498554,0.002058298590588236,0.9918722334870933,,,,5,510,DecisionTree,ADCH,hf,2,
0.0033112577780009074,0.0004708754054785396,0.0013280013600607513,0.9946055233238116,,,,5,510,RandomForest,ADCH,hf,2,
0.0032869084625244136,0.0007043826186941257,0.0019061355433491235,0.9944294037866224,,,,5,510,GradientBoosting,ADCH,hf,2,
0.17995965270724587,0.03845982031245228,0.15929757196579825,-3.155659507251849,0.17874622886394376,0.15669696446016274,-2.963492273079262,5,510,FlaxMLP,ADCH,mp2,0,
0.03836063708476153,0.006853920560678875,0.013955462760130719,0.8163273061233541,,,,5,510,KNN,ADCH,mp2,0,
0.0681595940512111,0.0021348166870480125,0.05910537674650558,0.4317769299434204,,,,5,510,SVR,ADCH,mp2,0,
0.00889598045315496,0.00314787003632738,0.004959086011960786,0.9896474227594542,,,,5,510,DecisionTree,ADCH,mp2,0,
0.006235784205307242,0.0027235247000560584,0.0028387927851342082,0.9946753327933111,,,,5,510,RandomForest,ADCH,mp2,0,
0.0069996006020466555,0.0028743299836216174,0.0029347047300451994,0.9933324355322639,,,,5,510,GradientBoosting,ADCH,mp2,0,
0.21941431318437302,0.3054403432100227,0.0784563862160868,-11.873601599401434,0.0873779922431756,0.06761515363295509,0.23955525426709157,5,510,FlaxMLP,ADCH,mp2,1,
0.020753321019569136,0.004710613393251486,0.009459462821699346,0.9565471469711797,,,,5,510,KNN,ADCH,mp2,1,
0.05460885500519005,0.001780533170241575,0.0463398622505889,0.7050438190466976,,,,5,510,SVR,ADCH,mp2,1,
0.015939230872418404,0.00914561234846171,0.005111348293333333,0.9680743206857804,,,,5,510,DecisionTree,ADCH,mp2,1,
0.010449026472754011,0.007739853400655022,0.0034486404934519813,0.9843039016386463,,,,5,510,RandomForest,ADCH,mp2,1,
0.008100266243506562,0.008241346004226692,0.002794500395112815,0.9875973791894536,,,,5,510,GradientBoosting,ADCH,mp2,1,
0.18777967267940449,0.22696138340855826,0.1619741353760301,-30.130277286664324,0.17101309925211883,0.15743500292861776,-25.604134927232497,5,510,FlaxMLP,ADCH,mp2,2,
0.018708385944791454,0.0029748289871041125,0.007450705389215687,0.8269521614864861,,,,5,510,KNN,ADCH,mp2,2,
