ray,direction,orientation,r_A,E_int_kcal,E_MM_kcal,E_ML_kcal,ml_scale,wall_eV,mean_abs_F_eV_A,max_abs_F_eV_A,mean_abs_dF_kcal_A,max_abs_dF_kcal_A,dFcom_kcal_A
0,0,0,2.8,230.62377464959144,227.09360292532273,3.530171724268693,1.0,9.846672421818754,18.499311982158762,88.14283848038042,60.633643219676635,142.95982075928825,17.396969203296656
0,0,0,3.0628571428571427,81.36870895491771,63.27734452093201,18.0913644339857,1.0,2.742912381733295,7.758802890002021,36.247936100235364,46.04656166696366,126.3960117700495,123.58813106659008
0,0,0,3.3257142857142856,14.981788370484574,2.235114230358548,12.746674140126027,1.0,0.09586525393582909,1.596960831498939,4.510163669107335,44.25643391737874,139.59228563624862,136.81095420662373
0,0,0,3.588571428571428,17.320670856004746,0.02441354197136123,17.296257314033387,1.0,0.0,1.5842915896115817,3.5732474804536767,19.429017604611804,40.89345335670406,55.30376292229322
0,0,0,3.8514285714285714,25.159664452838847,0.02441354197136123,25.135250910867487,1.0,0.0,1.332033264746791,2.5700336302527713,30.217220869422846,115.56638454066328,84.7456718069179
0,0,0,4.114285714285714,11.925778614872305,0.02441354197136123,11.901365072900942,1.0,0.0,1.3140932819489977,2.1841344228026687,17.926628986478978,45.21882162068848,18.945075749515375
0,0,0,4.377142857142857,7.699318560300012,0.02441354197136123,7.67490501832865,1.0,0.0,1.329309088007192,2.7039087091909995,23.086769293226197,54.30103335266465,56.40275592761864
0,0,0,4.64,5.740875716858227,0.02441354197136123,5.716462174886866,1.0,0.0,1.2066687112838959,2.24424240179219,10.305481239537443,21.489402075559504,13.750787590613037
0,0,0,4.902857142857142,-0.08636010021437833,0.02441354197136123,-0.11077364218573955,1.0,0.0,0.9882155057334794,1.4935651881347989,14.488297737828285,44.4518513470371,35.05316779814462
0,0,0,5.1657142857142855,-0.872693790627319,0.02441354197136123,-0.8971073325986803,1.0,0.0,0.956346319715327,1.5043848406730822,6.271310065311245,11.94571461718811,12.432944698701146
0,0,0,5.428571428571429,-1.1589113067863275,0.02441354197136123,-1.1833248487576886,1.0,0.0,0.9557458796955691,1.453839866471017,2.596378554653665,4.338997185648296,2.289145026949618
0,0,0,5.691428571428571,-1.0460673501937239,0.02441354197136123,-1.070480892165085,1.0,0.0,0.9565771339510727,1.4710045893271761,1.1629705910754466,1.5931445089454128,0.7582608926443357
0,0,0,5.954285714285714,-0.8615165137770046,0.02441354197136123,-0.8859300557483658,1.0,0.0,0.9581546066358643,1.4623632577508843,1.2139403444164771,2.690536042048098,0.9277364831610917
0,0,0,6.217142857142857,-0.7543859191005172,0.02441354197136123,-0.7787994610718784,1.0,0.0,0.9568958753457724,1.4578093661017861,1.1049614550596751,2.8029615570942217,1.5462708656925557
0,0,0,6.4799999999999995,-0.6628535065026773,0.02441354197136123,-0.6872670484740386,1.0,0.0,0.9551364006378875,1.4504149461207325,0.7480761267242767,1.4456199297648866,1.4688100992276503
0,0,0,6.742857142857142,-0.5748430467586789,0.022081701089260598,-0.5969247478479395,0.9671991017264268,0.0,0.953688210144626,1.4399782532672478,0.6610640622352922,1.1613248035470713,1.0160671677597906
0,0,0,7.005714285714285,-0.47260797277978495,-0.03762684060698401,-0.434981132172801,0.7844476532096384,0.0,0.9547894722219372,1.4311360858064968,0.6102435777825123,1.0425574436207006,0.314604402230488
0,0,0,7.268571428571428,-0.39709496527669585,-0.16561560814284892,-0.23147935713384693,0.47679520179622736,0.0,0.9569541849791033,1.4254482135031896,0.4060642875828333,0.7499631994605552,0.06616240053616332
0,0,0,7.531428571428571,-0.3540067275842593,-0.28086665867895666,-0.07314006890530259,0.17984121206342998,0.0,0.9582229260122406,1.4224048943974774,0.1621057122864004,0.2618237476336364,0.02748148591086836
0,0,0,7.794285714285714,-0.326560684048846,-0.31985074997545093,-0.006709934073395015,0.020778930647087374,0.0,0.9584999726454957,1.4211774740006704,0.041183654939310366,0.12100777805820839,0.07173841671307787
0,0,0,8.057142857142857,-0.2948657170057715,-0.29486571700590375,1.3221186732220724e-13,0.0,0.0,0.9585279640644186,1.4206805562998153,0.03827513213689004,0.1413643314633116,0.09762627232438803
0,0,0,8.32,-0.25969159139659664,-0.2596915913967365,1.398525531493e-13,0.0,0.0,0.9585358285123047,1.4200693494166654,0.034358789658077434,0.12541306652848314,0.10147943404944985
0,0,0,8.582857142857144,-0.22572279915837312,-0.22572279915835966,-1.3441206481168423e-14,0.0,0.0,0.9585313272840527,1.4194763975705835,0.031214172699651897,0.1062410766289841,0.09171685389594546
0,0,0,8.845714285714285,-0.19469541210175545,-0.19469541210188307,1.276114543896645e-13,0.0,0.0,0.9585212968910375,1.4189519555380303,0.02790468589021731,0.08783698848608316,0.07689182447321441
0,0,0,9.108571428571427,-0.16716993854984188,-0.16716993854994092,9.904889061718159e-14,0.0,0.0,0.9585093070501344,1.4185076151708147,0.024377360667048823,0.07161526721949772,0.06108597326751295
0,0,0,9.37142857142857,-0.1431333294587987,-0.1431333294588524,5.372482233395593e-14,0.0,0.0,0.9584971617421724,1.4181392963606076,0.021009285994253033,0.057877946320611044,0.04617311496886316
0,0,0,9.634285714285713,-0.12230150898845041,-0.12230150898852284,7.24265009945102e-14,0.0,0.0,0.9584857057925404,1.417837686037415,0.0179544658727262,0.04648128400615725,0.03297657558916629
0,0,0,9.897142857142857,-0.10426244581648543,-0.10426244581648969,4.260382411441777e-15,0.0,0.0,0.9584752557536207,1.41759282375203,0.01525536400685577,0.03713416753503107,0.02186754434202423
0,0,0,10.16,-0.08853452454793816,-0.08853452454800374,6.558588698177271e-14,0.0,0.0,0.9584658291373225,1.4173958801671644,0.012897243072789286,0.029522891387568754,0.01307290937056488
0,0,0,10.422857142857143,-0.07458465213080345,-0.07458465213085695,5.350480258500823e-14,0.0,0.0,0.9584572695351097,1.4172394966287993,0.010832084519545758,0.023351770550557892,0.006828057972480725
0,0,0,10.685714285714285,-0.061837476274531074,-0.061837476274652206,1.2113087269338685e-13,0.0,0.0,0.9584493250926716,1.4171172941247518,0.008987773720504478,0.018342195441379768,0.003401551106218431
0,0,0,10.948571428571427,-0.04970171067112242,-0.04970171067119573,7.330657999030099e-14,0.0,0.0,0.9584417156907605,1.4170228552183983,0.00727466193976545,0.014213407583021326,0.0022796462943487873
0,0,0,11.21142857142857,-0.03763561676511357,-0.037635616765215055,1.0148410920212542e-13,0.0,0.0,0.958434209434874,1.4169484313859377,0.00559704944299577,0.010661221020412896,0.0017938285925015536
0,0,0,11.474285714285713,-0.02526596462062721,-0.025265964620741994,1.1478530311578166e-13,0.0,0.0,0.9584267153642638,1.4168837464003456,0.0038656291332628107,0.00734711069275756,0.002256689497886551
0,0,0,11.737142857142857,-0.01255783542359006,-0.01255783542369747,1.0740964107719409e-13,0.0,0.0,0.9584193826070067,1.4168155225769878,0.002009980756702412,0.0039075949264928906,0.0026204964409249506
0,0,0,12.0,0.0,0.0,0.0,0.0,0.0,0.9584126733979467,1.4167287421054136,0.0,0.0,0.0
1,0,1,2.8,30.61844601846827,0.007128418073772039,30.611317600394496,1.0,0.0,1.9172974487827006,3.617440879186812,31.58375016943996,54.16262788880105,12.681947548693683
1,0,1,3.0628571428571427,21.784844558572303,0.007128418073772039,21.77771614049853,1.0,0.0,2.3652714553446663,6.273555844948215,37.56637497467485,103.72709465711232,92.6793525913482
1,0,1,3.3257142857142856,15.238937038136795,0.007128418073772039,15.231808620063024,1.0,0.0,1.1586466600538767,2.226328464768532,29.99074954772538,58.23197354192191,33.694368396116104
1,0,1,3.588571428571428,13.691041890475221,0.007128418073772039,13.68391347240145,1.0,0.0,1.0951918655366035,1.8947676652853693,10.213324345633922,26.925990576376194,21.61778620276841
1,0,1,3.8514285714285714,5.51773145560951,0.007128418073772039,5.510603037535737,1.0,0.0,1.1584966834140014,1.7131911110750193,8.887653411299187,22.029063067122962,2.795024539214092
1,0,1,4.114285714285714,0.4528003546317062,0.007128418073772039,0.44567193655793413,1.0,0.0,0.9387139916232824,1.4268955647515384,6.660639441517732,14.269572957702117,9.841180756868331
1,0,1,4.377142857142857,-1.0361271880899436,0.007128418073772039,-1.0432556061637157,1.0,0.0,0.94938480198091,1.4589738047945844,4.79358216678434,7.135086298570184,4.242559475076953
1,0,1,4.64,-1.3075611392936448,0.007128418073772039,-1.3146895573674169,1.0,0.0,0.9598282802202632,1.4580448537517379,5.196820540831292,11.31522684979541,4.8441438902253635
1,0,1,4.902857142857142,-1.160606281812879,0.007128418073772039,-1.1677346998866511,1.0,0.0,0.9681329357623053,1.4508524710545083,5.408275827025954,12.15669711239281,4.911115676133916
1,0,1,5.1657142857142855,-0.8866967923335145,0.007128418073772039,-0.8938252104072866,1.0,0.0,0.9708498001975837,1.4604704355268623,5.692073751344744,12.09670790701052,2.4758648860945827
1,0,1,5.428571428571429,-0.6712920292265402,0.007128418073772039,-0.6784204473003123,1.0,0.0,0.9657239216297668,1.465642144344966,4.932664252862629,9.87566102723473,0.9571614325296836
1,0,1,5.691428571428571,-0.5329730410591287,0.007128418073772039,-0.5401014591329008,1.0,0.0,0.9606100523123923,1.4575138813287924,3.7837725298044433,7.9405881148129005,0.4096856400220864
1,0,1,5.954285714285714,-0.43724823135516994,0.007128418073772039,-0.444376649428942,1.0,0.0,0.9562524054096624,1.4431810600185198,3.037602890490794,7.068574335207979,0.2850304619872479
1,0,1,6.217142857142857,-0.3822105730305075,0.007128418073772039,-0.38933899110427955,1.0,0.0,0.9537869375197896,1.4321602071857618,2.4521955661052663,5.831049061580324,0.13045714540286873
1,0,1,6.4799999999999995,-0.35328461184236054,0.007128418073772039,-0.3604130299161326,1.0,0.0,0.9534363893303013,1.4273753285917727,1.996364163184495,4.177390372112238,0.14816908350344915
1,0,1,6.742857142857142,-0.31288522627225696,0.016088343167893773,-0.32897356944015077,0.9671991017264268,0.0,0.9546190894122949,1.4272175182216695,1.5401059753777493,2.6016206335597043,0.23148073625362567
1,0,1,7.005714285714285,-0.23190617588452314,0.01612819187711612,-0.24803436776163926,0.7844476532096393,0.0,0.9568079034192694,1.4263728075453515,1.1234815059523513,1.9185208362060917,0.1927645976030998
1,0,1,7.268571428571428,-0.16604568480052923,-0.030072632093782737,-0.1359730527067465,0.47679520179622853,0.0,0.9584999153103952,1.4232871063989074,0.7404611478856253,1.5029043885040083,0.061341794310544304
1,0,1,7.531428571428571,-0.13653619994819127,-0.09179754625532384,-0.044738653692867426,0.1798412120634308,0.0,0.9590192327169487,1.419895721165583,0.31496909122478073,0.6848797678891566,0.15887718408215165
1,0,1,7.794285714285714,-0.13108044369053254,-0.12673506984858196,-0.004345373841950594,0.020778930647087437,0.0,0.9589180981116417,1.4178809373602455,0.05961341621965088,0.11881874787888137,0.047661594308929765
1,0,1,8.057142857142857,-0.1285405804823888,-0.1285405804824096,2.0781865377877964e-14,0.0,0.0,0.9588179431888124,1.4174002875509986,0.029298080017169322,0.061477785800731155,0.02279074129326508
1,0,1,8.32,-0.1192828576717759,-0.11928285767175899,-1.6921518873613817e-14,0.0,0.0,0.9587585993931113,1.417215126136879,0.020487318752133183,0.05120325581428182,0.015628219177219023
1,0,1,8.582857142857144,-0.10662077533167798,-0.10662077533166746,-1.0520944358771711e-14,0.0,0.0,0.9587142564293426,1.4170570403725655,0.01839270102080478,0.04271108357361441,0.02398271778523423
1,0,1,8.845714285714285,-0.09311140189266268,-0.09311140189270044,3.7763389637568425e-14,0.0,0.0,0.958679697751105,1.416924861305171,0.017737499770676325,0.035702015218854646,0.02702044502900135
1,0,1,9.108571428571427,-0.0800557855053786,-0.08005578550546044,8.183734571086399e-14,0.0,0.0,0.9586518095511671,1.4168155950694394,0.016427894890151486,0.029909902153262974,0.026293134488406318
1,0,1,9.37142857142857,-0.06805856387767044,-0.06805856387768087,1.0440937177336185e-14,0.0,0.0,0.9586286463406161,1.4167258434901213,0.014849836354248561,0.025110297658574185,0.02364081314752996
1,0,1,9.634285714285713,-0.05733946428676293,-0.05733946428679744,3.450309699407073e-14,0.0,0.0,0.9586089207519463,1.416652444961547,0.013216822752788897,0.02266514950386026,0.02020627643132006
1,0,1,9.897142857142857,-0.04790512936760034,-0.04790512936756362,-3.6713295381227145e-14,0.0,0.0,0.9585916984348201,1.4165927142085526,0.011636237371843878,0.01994501073171394,0.016661717647622466
1,0,1,10.16,-0.03964292793213773,-0.03964292793214497,7.230649022235691e-15,0.0,0.0,0.9585761970203768,1.416544453499963,0.01014992054389101,0.017127791422793394,0.013396880458983585
1,0,1,10.422857142857143,-0.03237365466511261,-0.03237365466517387,6.126049873541456e-14,0.0,0.0,0.9585616469136102,1.416505815060908,0.008756240427102423,0.014405568787160256,0.010622861722885941
1,0,1,10.685714285714285,-0.02588642865765708,-0.02588642865775528,9.819881431442913e-14,0.0,0.0,0.9585472072585415,1.4164750654346876,0.007423060304209605,0.011844893724931617,0.008414841416234076
1,0,1,10.948571428571427,-0.019970635711798714,-0.019970635711791505,-7.21064722687681e-15,0.0,0.0,0.9585319552932174,1.4164503109381439,0.006098395640790609,0.00943123387251842,0.00672115023620241
1,0,1,11.21142857142857,-0.01445298035455744,-0.014452980354558895,1.455130612358635e-15,0.0,0.0,0.9585149829806469,1.4164292720049019,0.004723144779079256,0.007101758607462703,0.00536322658935095
1,0,1,11.474285714285713,-0.009240694603215097,-0.009240694603257072,4.1973767560612996e-14,0.0,0.0,0.9584956356781114,1.4164092281159315,0.003248417092072213,0.00477811953426998,0.004043238653173025
1,0,1,11.737142857142857,-0.004363799872398297,-0.004363799872514319,1.1602291420361246e-13,0.0,0.0,0.9584739017185516,1.4163872772939365,0.0016587410039373873,0.0024202901185525756,0.002378838825849833
1,0,1,12.0,0.0,0.0,0.0,0.0,0.0,0.9584508902472914,1.4163610436944882,0.0,0.0,0.0
