epoch,best_loss,lr_eff,objectives.train_loss,objectives.valid_loss,objectives.train_energy_mae,objectives.valid_energy_mae,objectives.train_forces_mae,objectives.valid_forces_mae,objectives.train_dipole_mae,objectives.valid_dipole_mae
1,185.42366365576115,0.0010000000474974513,84.82917955528232,185.42366365576115,36.23269084146855,42.65807949180068,0.17559117399357493,0.47655615519497113,0.05541057303425212,0.22108982582120623
2,90.76980419511831,0.0010000000474974513,12.786488522225824,90.76980419511831,5.5331323368328835,37.32043433658207,0.14855526833252333,0.2183573399359911,0.02899835504243548,0.15344243782796954
3,57.090865404900356,0.0010000000474974513,5.0982623543918315,57.090865404900356,1.8591069821515052,28.52411266103816,0.10368908890263076,0.19039951938848648,0.027096304663557343,0.09119661377114348
4,31.23959031704848,0.0010000000474974513,2.933698059219359,31.23959031704848,1.0026423614636244,20.037116125510867,0.07904953907619201,0.15384675690563873,0.02580817840780409,0.048833494945716975
5,16.685789801710094,0.0010000000474974513,2.3908929626439086,16.685789801710094,0.7916454684924417,13.452557272520227,0.07168422113610363,0.125409972182483,0.024187666810731475,0.02769200949639443
6,8.45921732398881,0.0010000000474974513,2.016334103830468,8.45921732398881,0.6621635033050636,8.832681500788102,0.06636346288561455,0.09764622460275993,0.022392729982623396,0.025373623528981707
7,4.064049138840428,0.0010000000474974513,1.6391843819508205,4.064049138840428,0.5453177487813374,5.740842640970215,0.05955093601879293,0.07162793759641985,0.021336957842158017,0.02637727605516488
8,1.943984532713724,0.0010000000474974513,1.3175728328807568,1.943984532713724,0.43233813949001054,3.7116078614581665,0.053333058764103276,0.05130799446698802,0.020503739240982418,0.02524009610814443
9,1.0072946219375314,0.0010000000474974513,1.3281784781837134,1.0072946219375314,0.463923540604628,2.4552681899404867,0.053402182485151196,0.03776846170492894,0.01961921689592537,0.022962910996486962
10,0.5711764295020613,0.0010000000474974513,1.1009601508415894,0.5711764295020613,0.3717460380147515,1.6452748878918295,0.04873836780542957,0.028769501216948018,0.019355781469839642,0.02078756485202198
11,0.3715222867058497,0.0010000000474974513,0.9096811093239037,0.3715222867058497,0.3172424855752803,1.1203307138457328,0.044211191240474665,0.023478261439904884,0.01810201996206951,0.019338302536099767
12,0.2734165900431299,0.0010000000474974513,0.835749553401842,0.2734165900431299,0.30026059606607125,0.788179191106301,0.042534814702294914,0.020231947344181368,0.017926235232893842,0.01822438939141142
13,0.22605438705586575,0.0010000000474974513,0.9321225789385211,0.22605438705586575,0.3350964912111107,0.5979278915086681,0.04521212267892215,0.018462163293595638,0.017034158820504977,0.017200703840334945
14,0.19769759519731075,0.0010000000474974513,0.8691780126058278,0.19769759519731075,0.3335986334548152,0.4833436937305325,0.043858322651276926,0.017375710866175568,0.01611905803381571,0.016363108655026076
15,0.17915553236961998,0.0010000000474974513,0.777107166547752,0.17915553236961998,0.29207007109815986,0.3868923570166247,0.041163304666421895,0.016597119810523312,0.01629679092656044,0.015639039560920887
16,0.16280994664317536,0.0010000000474974513,0.6213424508613365,0.16280994664317536,0.25596688406925855,0.311371912436811,0.03741495257123292,0.015874940557978234,0.015348560890615526,0.014991115858886869
17,0.15053445802342094,0.0010000000474974513,0.6891902299220404,0.15053445802342094,0.2668987327998183,0.27424091069869394,0.03846798108587159,0.015300285389476195,0.015312551337401087,0.014350543828547597
18,0.14230667004241981,0.0010000000474974513,0.7063281350364443,0.14230667004241981,0.29598251827070976,0.25688367337060936,0.039694099909219384,0.014887652447406037,0.013598920227599252,0.013711279027524198
19,0.1347670376451989,0.0010000000474974513,0.6605198604878029,0.1347670376451989,0.32154947578235094,0.23924624477730363,0.03805530886252279,0.014495964762021543,0.014175352160508812,0.013098603119573497
20,0.12902599622451408,0.0010000000474974513,0.6432194443874675,0.12902599622451408,0.3038984770533455,0.22061802843542122,0.03796525178890708,0.014239232585142609,0.014259195392942122,0.01257503726016398
21,0.12365624497760168,0.0010000000474974513,0.6795178274013386,0.12365624497760168,0.33417546433198825,0.21248769596359202,0.03914328759211223,0.014006284611157034,0.013195263840096186,0.012062434299821371
22,0.11535686775263214,0.0010000000474974513,0.5027031752093299,0.11535686775263214,0.24911703192726692,0.18879788332441033,0.032781756594943236,0.013555860270641151,0.013253719643886332,0.011609246903779008
