# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.774096671348724508e-01 -2.338348817825317383e+01 1.353043531351964646e+00
-7.000000000000000666e-02 8.874096671348723486e-01 -2.338777756690979004e+01 7.761353408220560413e-01
-5.999999999999999778e-02 8.974096671348724685e-01 -2.338927531242370605e+01 3.209382401627259296e-01
-5.000000000000000278e-02 9.074096671348723664e-01 -2.338856196403503418e+01 -7.004913200901174974e-02
-4.000000000000000083e-02 9.174096671348723753e-01 -2.338581490516662598e+01 -4.575618597196074444e-01
-2.999999999999999889e-02 9.274096671348723842e-01 -2.338107419013977051e+01 -8.349943334151579410e-01
-2.000000000000000042e-02 9.374096671348723930e-01 -2.337447166442871094e+01 -1.178326050804631819e+00
-1.000000000000000021e-02 9.474096671348724019e-01 -2.336622571945190430e+01 -1.477615323054154217e+00
0.000000000000000000e+00 9.574096671348724108e-01 -2.335657072067260742e+01 -1.734450177661248871e+00
1.000000000000000021e-02 9.674096671348724197e-01 -2.334571957588195801e+01 -1.953973654785364555e+00
2.000000000000000042e-02 9.774096671348724286e-01 -2.333385658264159801e+01 -2.141533389012063360e+00
2.999999999999999889e-02 9.874096671348724374e-01 -2.332113838195800071e+01 -2.302051692456397625e+00
4.000000000000000083e-02 9.974096671348724463e-01 -2.330769610404966485e+01 -2.440091341745484588e+00
5.000000000000000278e-02 1.007409667134872455e+00 -2.329363965988155627e+01 -2.559928448528169920e+00
5.999999999999999778e-02 1.017409667134872464e+00 -2.327905535697930972e+01 -2.665569385085412968e+00
7.000000000000000666e-02 1.027409667134872473e+00 -2.326401066780081095e+01 -2.761092507176799327e+00
8.000000000000000167e-02 1.037409667134872482e+00 -2.324854707717882363e+01 -2.852503085955815365e+00
