lambda,distance_A,E_total_eV,E_internal_eV,E_ml2b_eV,E_mm_eV
0.0,1.2,-45.6162109375,-45.6162109375,0.0,0.0
0.0,1.6714285714285713,-45.71527862548828,-45.71527862548828,0.0,0.0
0.0,2.142857142857143,-45.967491149902344,-45.967491149902344,0.0,0.0
0.0,2.614285714285714,-46.624568939208984,-46.624568939208984,-0.0,0.0
0.0,3.0857142857142854,-47.534881591796875,-47.534881591796875,-0.0,0.0
0.0,3.557142857142857,-48.1822395324707,-48.1822395324707,-0.0,0.0
0.0,4.0285714285714285,-48.358787536621094,-48.358787536621094,-0.0,0.0
0.0,4.5,-48.321006774902344,-48.321006774902344,-0.0,0.0
0.5,1.2,-45.61656951904297,-45.61656951904297,0.0,0.0
0.5,1.6714285714285713,-45.715003967285156,-45.715003967285156,0.0,0.0
0.5,2.142857142857143,-45.967491149902344,-45.967491149902344,0.0,0.0
0.5,2.614285714285714,-46.62483215332031,-46.62483215332031,-0.0,0.0
0.5,3.0857142857142854,-47.5348014831543,-47.5348014831543,-0.0,0.0
0.5,3.557142857142857,-48.1822395324707,-48.1822395324707,-0.0,0.0
0.5,4.0285714285714285,-48.35966491699219,-48.35966491699219,-0.0,0.0
0.5,4.5,-48.32079315185547,-48.32079315185547,-0.0,0.0
1.0,1.2,-45.61665725708008,-45.61665725708008,0.0,0.0
1.0,1.6714285714285713,-45.71440887451172,-45.71440887451172,0.0,0.0
1.0,2.142857142857143,-45.967552185058594,-45.967552185058594,0.0,0.0
1.0,2.614285714285714,-46.62470626831055,-46.62470626831055,-0.0,0.0
1.0,3.0857142857142854,-47.5348014831543,-47.5348014831543,-0.0,0.0
1.0,3.557142857142857,-48.182373046875,-48.182373046875,-0.0,0.0
1.0,4.0285714285714285,-48.35932159423828,-48.35932159423828,-0.0,0.0
1.0,4.5,-48.32079315185547,-48.32079315185547,-0.0,0.0
