# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.421212176132761851e-01 -2.238335006930301674e+01 6.957976002929108894e+00
-7.000000000000000666e-02 8.521212176132760829e-01 -2.244666689135501869e+01 6.615756301060646827e+00
-5.999999999999999778e-02 8.621212176132760918e-01 -2.249640625216434486e+01 5.414109619545058649e+00
-5.000000000000000278e-02 8.721212176132761007e-01 -2.253286474444339760e+01 4.379985770737654605e+00
-4.000000000000000083e-02 8.821212176132759986e-01 -2.256078403689334877e+01 3.276845205809022055e+00
-2.999999999999999889e-02 8.921212176132760074e-01 -2.258126872279117592e+01 2.226944752619961942e+00
-2.000000000000000042e-02 9.021212176132761273e-01 -2.259466164805362709e+01 1.333677838503322555e+00
-1.000000000000000021e-02 9.121212176132760252e-01 -2.260181754328678139e+01 6.004315277038083654e-01
0.000000000000000000e+00 9.221212176132761451e-01 -2.260383742548892982e+01 8.515898888075386711e-03
1.000000000000000021e-02 9.321212176132761540e-01 -2.260177653529117592e+01 -4.575341937918586677e-01
2.000000000000000042e-02 9.421212176132760518e-01 -2.259653394915531166e+01 -8.187176741175175021e-01
2.999999999999999889e-02 9.521212176132760607e-01 -2.258883183695743568e+01 -1.104423639042832805e+00
4.000000000000000083e-02 9.621212176132761806e-01 -2.257920926310489662e+01 -1.346880117453929326e+00
5.000000000000000278e-02 9.721212176132760785e-01 -2.256803076960514076e+01 -1.575558157415277050e+00
5.999999999999999778e-02 9.821212176132759764e-01 -2.255550688006351479e+01 -1.814979786090721969e+00
7.000000000000000666e-02 9.921212176132760963e-01 -2.254171984888980873e+01 -2.084875920153436812e+00
8.000000000000000167e-02 1.002121217613275883e+00 -2.252664964892337807e+01 -2.400787820226506053e+00
