lambda,distance_A,E_total_eV,E_internal_eV,E_ml2b_eV,E_mm_eV
0.0,2.6,-46.60646057128906,-46.60646057128906,-0.0,0.0
0.0,3.68,-48.295475006103516,-48.295475006103516,-0.0,0.0
0.0,4.76,-48.25658416748047,-48.25658416748047,-0.0,0.0
0.0,5.84,-47.72746276855469,-47.72746276855469,-0.0,0.0
0.0,6.92,-47.474449157714844,-47.474449157714844,-0.0,0.0
0.0,8.0,-47.47384262084961,-47.47384262084961,-0.0,0.0
0.5,2.6,-46.60646057128906,-46.60646057128906,-0.0,0.0
0.5,3.68,-48.294944763183594,-48.294944763183594,-0.0,0.0
0.5,4.76,-48.25658416748047,-48.25658416748047,-0.0,0.0
0.5,5.84,-47.72747039794922,-47.72747039794922,-0.0,0.0
0.5,6.92,-47.474449157714844,-47.474449157714844,-0.0,0.0
0.5,8.0,-47.47384262084961,-47.47384262084961,-0.0,0.0
1.0,2.6,-46.60646057128906,-46.60646057128906,-0.0,0.0
1.0,3.68,-48.294944763183594,-48.294944763183594,-0.0,0.0
1.0,4.76,-48.256534576416016,-48.256534576416016,-0.0,0.0
1.0,5.84,-47.72747039794922,-47.72747039794922,-0.0,0.0
1.0,6.92,-47.474449157714844,-47.474449157714844,-0.0,0.0
1.0,8.0,-47.47384262084961,-47.47384262084961,-0.0,0.0
