lambda,distance_A,E_total_eV,E_internal_eV,E_ml2b_eV,E_mm_eV
0.0,2.6,-46.606136322021484,-46.606136322021484,-0.0,0.0
0.0,3.3714285714285714,-47.95330047607422,-47.95330047607422,-0.0,0.0
0.0,4.142857142857143,-48.348777770996094,-48.348777770996094,-0.0,0.0
0.0,4.914285714285715,-48.181785583496094,-48.181785583496094,-0.0,0.0
0.0,5.685714285714286,-47.78834533691406,-47.78834533691406,-0.0,0.0
0.0,6.457142857142857,-47.49591064453125,-47.49591064453125,-0.0,0.0
0.0,7.2285714285714295,-47.470924377441406,-47.470924377441406,-0.0,0.0
0.0,8.0,-47.47156524658203,-47.47156524658203,-0.0,0.0
0.5,2.6,-46.60613250732422,-46.60613250732422,-0.0,0.0
0.5,3.3714285714285714,-47.953033447265625,-47.953033447265625,-0.0,0.0
0.5,4.142857142857143,-48.34862518310547,-48.34862518310547,-0.0,0.0
0.5,4.914285714285715,-48.181758880615234,-48.181758880615234,-0.0,0.0
0.5,5.685714285714286,-47.78834533691406,-47.78834533691406,-0.0,0.0
0.5,6.457142857142857,-47.49589157104492,-47.49589157104492,-0.0,0.0
0.5,7.2285714285714295,-47.470436096191406,-47.470436096191406,-0.0,0.0
0.5,8.0,-47.47212219238281,-47.47212219238281,-0.0,0.0
1.0,2.6,-46.60662078857422,-46.60662078857422,-0.0,0.0
1.0,3.3714285714285714,-47.95330047607422,-47.95330047607422,-0.0,0.0
1.0,4.142857142857143,-48.348777770996094,-48.348777770996094,-0.0,0.0
1.0,4.914285714285715,-48.181758880615234,-48.181758880615234,-0.0,0.0
1.0,5.685714285714286,-47.78834533691406,-47.78834533691406,-0.0,0.0
1.0,6.457142857142857,-47.49620056152344,-47.49620056152344,-0.0,0.0
1.0,7.2285714285714295,-47.470924377441406,-47.470924377441406,-0.0,0.0
1.0,8.0,-47.47212219238281,-47.47212219238281,-0.0,0.0
