# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.727866127133553364e-01 -2.336982968705166996e+01 1.537460975732827695e+00
-7.000000000000000666e-02 8.827866127133553453e-01 -2.337518897752126179e+01 9.783877293324453328e-01
-5.999999999999999778e-02 8.927866127133553542e-01 -2.337761725077443131e+01 4.847659014264734667e-01
-5.000000000000000278e-02 9.027866127133552521e-01 -2.337769457852480315e+01 8.553855564753846952e-02
-4.000000000000000083e-02 9.127866127133552610e-01 -2.337573042737912843e+01 -2.983161185431247309e-01
-2.999999999999999889e-02 9.227866127133552698e-01 -2.337176413567505406e+01 -6.824181267641397097e-01
-2.000000000000000042e-02 9.327866127133553897e-01 -2.336587223502909438e+01 -1.041756064626525147e+00
-1.000000000000000021e-02 9.427866127133552876e-01 -2.335824736688601888e+01 -1.358839276381475170e+00
0.000000000000000000e+00 9.527866127133554075e-01 -2.334912556485299007e+01 -1.631635713675796184e+00
1.000000000000000021e-02 9.627866127133553054e-01 -2.333873165688689610e+01 -1.864662429971466251e+00
2.000000000000000042e-02 9.727866127133554253e-01 -2.332726257612324616e+01 -2.063439973738199207e+00
2.999999999999999889e-02 9.827866127133554341e-01 -2.331488497656902581e+01 -2.233066236257047255e+00
4.000000000000000083e-02 9.927866127133554430e-01 -2.330174190878159735e+01 -2.378186627036855683e+00
5.000000000000000278e-02 1.002786612713355341e+00 -2.328795138935732467e+01 -2.503143178067522179e+00
5.999999999999999778e-02 1.012786612713355350e+00 -2.327360973879179440e+01 -2.612027232606352278e+00
7.000000000000000666e-02 1.022786612713355359e+00 -2.325879301199139348e+01 -2.708800887007848601e+00
8.000000000000000167e-02 1.032786612713355368e+00 -2.324355556776195186e+01 -2.798232822464583158e+00
