# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.775720326520196624e-01 -8.996034246870092232e+00 5.459921691487515716e+00
-7.000000000000000666e-02 8.875720326520196712e-01 -9.019352110119884358e+00 4.002516239599904324e+00
-5.999999999999999778e-02 8.975720326520196801e-01 -9.036134627690026733e+00 2.826934766531716825e+00
-5.000000000000000278e-02 9.075720326520194670e-01 -9.047722195446930016e+00 1.907212989770942668e+00
-4.000000000000000083e-02 9.175720326520195869e-01 -9.055314325143370979e+00 1.213064496385644286e+00
-2.999999999999999889e-02 9.275720326520195957e-01 -9.059950871745961365e+00 7.113742665058131465e-01
-2.000000000000000042e-02 9.375720326520196046e-01 -9.062502466781621635e+00 3.675486285452702062e-01
-1.000000000000000021e-02 9.475720326520196135e-01 -9.063663925537705168e+00 1.467380610069567437e-01
0.000000000000000000e+00 9.575720326520195114e-01 -9.063959201991455217e+00 1.492166805999594649e-02
1.000000000000000021e-02 9.675720326520196313e-01 -9.063746339669140895e+00 -6.017472656677178011e-02
2.000000000000000042e-02 9.775720326520196402e-01 -9.063227642098123482e+00 -1.083418977320088628e-01
2.999999999999999889e-02 9.875720326520196490e-01 -9.062462208941353126e+00 -1.563189598364537469e-01
4.000000000000000083e-02 9.975720326520196579e-01 -9.061386736787655494e+00 -2.273623798901115434e-01
5.000000000000000278e-02 1.007572032652019445e+00 -9.059829676464175918e+00 0.000000000000000000e+00
5.999999999999999778e-02 1.017572032652019676e+00 -9.057531555128644385e+00 -5.123940637342939697e-01
7.000000000000000666e-02 1.027572032652019463e+00 -9.054167745102574827e+00 -7.529838104962888190e-01
8.000000000000000167e-02 1.037572032652019471e+00 -9.049367176756385689e+00 -1.069640806901019259e+00
