offset,distance,delta_E_total,delta_E_spooky,delta_E_mbd,E_elec,E_rep,E_neural,q_max_abs,q_rms,q_net_monA,q_net_monB
0.0,2.0,19.820649394193367,19.820649394193367,0.0,0.0,1.2020647207880223e-31,-412.5167706909714,0.0,0.0,0.0,0.0
0.0,2.2,-3.81028967512043,-3.81028967512043,0.0,0.0,3.95805821464464e-31,-436.1477097602852,0.0,0.0,0.0,0.0
0.0,2.4,-12.76434725504032,-12.76434725504032,0.0,0.0,1.4083954855189493e-30,-445.1017673402051,0.0,0.0,0.0,0.0
0.0,2.6,-16.484292757460253,-16.484292757460253,0.0,0.0,5.349852701425712e-30,-448.821712842625,0.0,0.0,0.0,0.0
0.0,2.8,-17.770047799515055,-17.770047799515055,0.0,0.0,2.1439454069574164e-29,-450.1074678846798,0.0,0.0,0.0,0.0
0.0,3.0,-17.274298446785167,-17.274298446785167,0.0,0.0,8.964160300775046e-29,-449.6117185319499,0.0,0.0,0.0,0.0
0.0,3.2,-15.548522419484243,-15.548522419484243,0.0,0.0,3.8704555429608715e-28,-447.885942504649,0.0,0.0,0.0,0.0
0.0,3.4000000000000004,-13.75698955762283,-13.75698955762283,0.0,0.0,1.7097264546477756e-27,-446.0944096427876,0.0,0.0,0.0,0.0
0.0,3.6,-12.749216585415695,-12.749216585415695,0.0,0.0,7.661964202697366e-27,-445.08663667058045,0.0,0.0,0.0,0.0
0.0,3.8,-11.808168106872927,-11.808168106872927,0.0,0.0,3.4570515116310814e-26,-444.1455881920377,0.0,0.0,0.0,0.0
0.0,4.0,-10.809631880657548,-10.809631880657548,0.0,0.0,1.5598295042148473e-25,-443.1470519658223,0.0,0.0,0.0,0.0
0.0,4.2,-9.457284298452578,-9.457284298452578,0.0,0.0,6.995016936047843e-25,-441.79470438361733,0.0,0.0,0.0,0.0
0.0,4.4,-7.9564010437989054,-7.9564010437989054,0.0,0.0,3.1006149272333523e-24,-440.29382112896366,0.0,0.0,0.0,0.0
0.0,4.6,-6.37872084389943,-6.37872084389943,0.0,0.0,1.3518340525275013e-23,-438.7161409290642,0.0,0.0,0.0,0.0
0.0,4.800000000000001,-5.004249055818889,-5.004249055818889,0.0,0.0,5.771724167586138e-23,-437.34166914098364,0.0,0.0,0.0,0.0
0.0,5.0,-3.862235375197997,-3.862235375197997,0.0,0.0,2.4039214171622652e-22,-436.19965546036275,0.0,0.0,0.0,0.0
0.0,5.2,-2.778897023877221,-2.778897023877221,0.0,0.0,9.734394360787657e-22,-435.116317109042,0.0,0.0,0.0,0.0
0.0,5.4,-1.9430154961264634,-1.9430154961264634,0.0,0.0,3.8214787280673476e-21,-434.2804355812912,0.0,0.0,0.0,0.0
0.0,5.6,-1.154373326447967,-1.154373326447967,0.0,0.0,1.450905068731589e-20,-433.4917934116127,0.0,0.0,0.0,0.0
0.0,5.800000000000001,-0.5374906477117065,-0.5374906477117065,0.0,0.0,5.317172360694659e-20,-432.87491073287646,0.0,0.0,0.0,0.0
0.0,6.0,-0.21657970125471593,-0.21657970125471593,0.0,0.0,1.877964655050979e-19,-432.55399978641947,0.0,0.0,0.0,0.0
0.0,6.2,0.0029029773117486,0.0029029773117486,0.0,0.0,6.385070885655408e-19,-432.334517107853,0.0,0.0,0.0,0.0
0.0,6.4,-0.0013635196463610555,-0.0013635196463610555,0.0,0.0,2.08820880129553e-18,-432.3387836048111,0.0,0.0,0.0,0.0
0.0,6.6000000000000005,-0.0014075041511318886,-0.0014075041511318886,0.0,0.0,6.566245412013871e-18,-432.3388275893159,0.0,0.0,0.0,0.0
0.0,6.800000000000001,-0.002771023797492944,-0.002771023797492944,0.0,0.0,1.984826464412519e-17,-432.34019110896224,0.0,0.0,0.0,0.0
0.0,7.0,-0.002771023797492944,-0.002771023797492944,0.0,0.0,5.768204207786396e-17,-432.34019110896224,0.0,0.0,0.0,0.0
0.0,7.2,-0.002771023797492944,-0.002771023797492944,0.0,0.0,1.612200030997753e-16,-432.34019110896224,0.0,0.0,0.0,0.0
0.0,7.4,-0.0013635196463610555,-0.0013635196463610555,0.0,0.0,4.336061836026691e-16,-432.3387836048111,0.0,0.0,0.0,0.0
0.0,7.6000000000000005,-0.0014075041511318886,-0.0014075041511318886,0.0,0.0,1.1230104725649513e-15,-432.3388275893159,0.0,0.0,0.0,0.0
0.0,7.800000000000001,-0.002771023797492944,-0.002771023797492944,0.0,0.0,2.803224066633316e-15,-432.34019110896224,0.0,0.0,0.0,0.0
0.0,8.0,-0.03237259547591975,-0.03237259547591975,0.0,0.0,6.7508922302158725e-15,-432.36979268064067,0.0,0.0,0.0,0.0
0.0,8.2,-0.030965091324787863,-0.030965091324787863,0.0,0.0,1.5526430856617437e-14,-432.36838517648954,0.0,0.0,0.0,0.0
0.0,8.4,0.0,0.0,0.0,0.0,3.226282147080845e-14,-432.3374200851648,0.0,0.0,0.0,0.0
0.0,8.600000000000001,0.0,0.0,0.0,0.0,5.928677312303164e-14,-432.3374200851648,0.0,0.0,0.0,0.0
0.0,8.8,-0.031009075829501853,-0.031009075829501853,0.0,0.0,9.808267995506847e-14,-432.36842916099437,0.0,0.0,0.0,0.0
0.0,9.0,-0.06197416715428972,-0.06197416715428972,0.0,0.0,1.4435603134082483e-13,-432.3993942523192,0.0,0.0,0.0,0.0
0.0,9.2,-0.030965091324787863,-0.030965091324787863,0.0,0.0,1.753639182203695e-13,-432.3683851764897,0.0,0.0,0.0,0.0
0.0,9.4,0.0,0.0,0.0,0.0,1.4335240400973456e-13,-432.3374200851649,0.0,0.0,0.0,0.0
0.0,9.600000000000001,0.0,0.0,0.0,0.0,4.561763686694523e-14,-432.3374200851648,0.0,0.0,0.0,0.0
0.0,9.8,-0.031009075829501853,-0.031009075829501853,0.0,0.0,8.543485606494052e-16,-432.36842916099425,0.0,0.0,0.0,0.0
