# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.750978561506566056e-01 -1.845573854641227385e+01 7.468822154442490202e+00
-7.000000000000000666e-02 8.850978561506566145e-01 -1.848917038311976668e+01 5.858622063894213028e+00
-5.999999999999999778e-02 8.950978561506566233e-01 -1.851514257792532803e+01 4.483051119871601209e+00
-5.000000000000000278e-02 9.050978561506566322e-01 -1.853478370707853884e+01 3.325151204024832108e+00
-4.000000000000000083e-02 9.150978561506566411e-01 -1.854912359934028387e+01 2.364020043088572720e+00
-2.999999999999999889e-02 9.250978561506567610e-01 -1.855908260581622571e+01 1.575727895261698430e+00
-2.000000000000000042e-02 9.350978561506566589e-01 -1.856545574889219097e+01 9.343933616549457977e-01
-1.000000000000000021e-02 9.450978561506567788e-01 -1.856890485971599247e+01 4.132823324331955650e-01
0.000000000000000000e+00 9.550978561506565656e-01 -1.856996011695007098e+01 -1.417992410797228910e-02
1.000000000000000021e-02 9.650978561506566855e-01 -1.856902051184594882e+01 -3.735461801242714319e-01
2.000000000000000042e-02 9.750978561506566944e-01 -1.856636263878844417e+01 -6.886552178111101652e-01
2.999999999999999889e-02 9.850978561506565923e-01 -1.856214811217785865e+01 -9.811033938878364058e-01
4.000000000000000083e-02 9.950978561506566011e-01 -1.855643813223857919e+01 -1.269855656868765781e+00
5.000000000000000278e-02 1.005097856150656721e+00 -1.854920594945971501e+01 0.000000000000000000e+00
5.999999999999999778e-02 1.015097856150656730e+00 -1.854035301739896369e+01 -1.897388492518865100e+00
7.000000000000000666e-02 1.025097856150656517e+00 -1.852972391846072497e+01 -2.258855483075473014e+00
8.000000000000000167e-02 1.035097856150656748e+00 -1.851712157857348728e+01 -2.661842649111644032e+00
