# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.727866127133553364e-01 -2.333256721496582031e+01 1.039251599114670244e+00
-7.000000000000000666e-02 8.827866127133553453e-01 -2.333601927757263184e+01 6.963881121233592708e-01
-5.999999999999999778e-02 8.927866127133553542e-01 -2.333735299110412598e+01 3.071089739904393490e-01
-5.000000000000000278e-02 9.027866127133552521e-01 -2.333673906326293945e+01 -3.170425531898380528e-02
-4.000000000000000083e-02 9.127866127133552610e-01 -2.333435630798339844e+01 -3.680215114120699016e-01
-2.999999999999999889e-02 9.227866127133552698e-01 -2.333018088340759277e+01 -7.174738127937080323e-01
-2.000000000000000042e-02 9.327866127133553897e-01 -2.332421898841857910e+01 -1.056317200556282421e+00
-1.000000000000000021e-02 9.427866127133552876e-01 -2.331660246849060059e+01 -1.362282802950226079e+00
0.000000000000000000e+00 9.527866127133554075e-01 -2.330753064155578613e+01 -1.628245690046872696e+00
1.000000000000000021e-02 9.627866127133553054e-01 -2.329721784603487222e+01 -1.856094031854099491e+00
2.000000000000000042e-02 9.727866127133554253e-01 -2.328585291002967850e+01 -2.050339496994217026e+00
2.999999999999999889e-02 9.827866127133554341e-01 -2.327360296565635167e+01 -2.215650403600079255e+00
4.000000000000000083e-02 9.927866127133554430e-01 -2.326060868054799613e+01 -2.356372101798370089e+00
5.000000000000000278e-02 1.002786612713355341e+00 -2.324698997989185401e+01 -2.476545071873125448e+00
5.999999999999999778e-02 1.012786612713355350e+00 -2.323284700009135051e+01 -2.579927565168647075e+00
7.000000000000000666e-02 1.022786612713355359e+00 -2.321825865824195745e+01 -2.670105860332853798e+00
8.000000000000000167e-02 1.032786612713355368e+00 -2.320328575154684714e+01 -2.751403233601758647e+00
