utc_timestamp,seed,max_degree,include_pseudotensors,num_epochs,num_train,num_valid,num_samples,num_atoms,batch_size,learning_rate,features,num_iterations,num_basis_functions,cutoff,valid_mae_final,valid_mae_last10_mean
2026-04-10T14:49:10.376631+00:00,8,0,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.5503861904144287,0.5493380129337311
2026-04-10T14:49:15.056811+00:00,8,0,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.7151216268539429,0.7150526106357574
2026-04-10T14:49:32.917216+00:00,8,1,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.621697187423706,0.626472145318985
2026-04-10T14:49:48.563097+00:00,8,1,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.6709589958190918,0.6771362781524658
2026-04-10T14:50:31.071901+00:00,8,2,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.6364664435386658,0.6352608621120452
2026-04-10T14:51:12.280757+00:00,8,2,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.6453701853752136,0.6393995821475983
2026-04-10T14:52:28.171451+00:00,8,3,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.6685775518417358,0.6723178267478943
2026-04-10T14:53:42.814450+00:00,8,3,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.5966227054595947,0.5957617282867431
2026-04-10T14:56:43.424791+00:00,8,4,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.7081295847892761,0.7077408730983734
2026-04-10T14:59:46.184210+00:00,8,4,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.6658294200897217,0.6629427254199982
