utc_timestamp,seed,max_degree,include_pseudotensors,num_epochs,num_train,num_valid,num_samples,num_atoms,batch_size,learning_rate,features,num_iterations,num_basis_functions,cutoff,valid_mae_final,valid_mae_last10_mean
2026-04-10T14:21:26.761047+00:00,5,0,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.5767907500267029,0.5825475931167603
2026-04-10T14:21:31.035857+00:00,5,0,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.5128763318061829,0.5190820932388306
2026-04-10T14:21:46.118273+00:00,5,1,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.5341885685920715,0.5368714749813079
2026-04-10T14:21:58.939982+00:00,5,1,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.5989644527435303,0.5970375299453735
2026-04-10T14:22:30.689836+00:00,5,2,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.492980420589447,0.4932821452617645
2026-04-10T14:23:01.429382+00:00,5,2,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.5830625295639038,0.5853217303752899
2026-04-10T14:23:55.024762+00:00,5,3,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.5195235013961792,0.5224555969238281
2026-04-10T14:24:47.502494+00:00,5,3,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.5712711811065674,0.569002890586853
2026-04-10T14:26:49.616438+00:00,5,4,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.5376131534576416,0.5360583484172821
2026-04-10T14:28:50.911305+00:00,5,4,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.5017344951629639,0.5024702757596969
