max_degree,include_pseudotensors,n_runs,last10_mean,last10_std,final_mean,final_std
0,False,11,0.6543201170184395,0.07128952775445957,0.6531839641657743,0.0721260862270438
0,True,11,0.6480592250823974,0.07557625409505615,0.6454698822715066,0.0764603997637456
1,False,11,0.6355576954104684,0.07778773650058896,0.633368269963698,0.07875875876234872
1,True,11,0.6579002583568747,0.09046133335807645,0.6615577692335303,0.09206164491829323
2,False,11,0.6524218884381381,0.09020428327934979,0.6539057655767961,0.08944522266603773
2,True,11,0.6560375202785839,0.0630213668568817,0.658595778725364,0.062107523451570855
3,False,11,0.6659210806543178,0.06658116567932203,0.6636084643277255,0.07148387552191575
3,True,11,0.6424910962581635,0.04524278100704284,0.6438199119134382,0.046604030633558245
4,False,11,0.6282863860780542,0.08648271295388461,0.6364028020338579,0.09197180927140844
4,True,11,0.6275746321136301,0.05818903638225443,0.6305701461705294,0.06809907087927784
