utc_timestamp,seed,max_degree,include_pseudotensors,num_epochs,num_train,num_valid,num_samples,num_atoms,batch_size,learning_rate,features,num_iterations,num_basis_functions,cutoff,valid_mae_final,valid_mae_last10_mean
2026-04-10T14:13:44.752434+00:00,4,0,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.6261128187179565,0.6245797097682952
2026-04-10T14:13:49.077336+00:00,4,0,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.7149327397346497,0.7170216500759125
2026-04-10T14:14:04.020257+00:00,4,1,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.6051390767097473,0.606118631362915
2026-04-10T14:14:16.845768+00:00,4,1,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.7051698565483093,0.7018217206001282
2026-04-10T14:14:48.522262+00:00,4,2,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.6930230855941772,0.704857736825943
2026-04-10T14:15:19.526787+00:00,4,2,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.6615595817565918,0.6559284150600433
2026-04-10T14:16:12.982703+00:00,4,3,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.7137178778648376,0.6838952004909515
2026-04-10T14:17:05.524771+00:00,4,3,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.655143141746521,0.6515504062175751
2026-04-10T14:19:06.681247+00:00,4,4,False,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.6406468152999878,0.638531482219696
2026-04-10T14:21:09.321542+00:00,4,4,True,50,800,100,1000,4,64,0.001,32,2,8,10.0,0.635521650314331,0.6368356764316558
