# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.224032298212884395e-01 -1.137573671340942383e+01 4.432648051263707600e+01
-7.000000000000000666e-02 8.324032298212884484e-01 -1.157777762413024902e+01 3.015766892188595705e+01
-5.999999999999999778e-02 8.424032298212883463e-01 -1.167740821838378906e+01 5.852275588159058017e+00
-5.000000000000000278e-02 8.524032298212882441e-01 -1.169368100166320801e+01 1.692343573744917173e-01
-4.000000000000000083e-02 8.624032298212884751e-01 -1.170082759857177734e+01 1.876129832311451251e+00
-2.999999999999999889e-02 8.724032298212883729e-01 -1.171383261680603027e+01 2.302655479000263572e+00
-2.000000000000000042e-02 8.824032298212882708e-01 -1.172514677047729492e+01 1.582358719197442420e+00
-1.000000000000000021e-02 8.924032298212882797e-01 -1.173136591911315918e+01 6.592463712802109077e-01
0.000000000000000000e+00 9.024032298212883996e-01 -1.173316502571105957e+01 1.098270526172271527e-02
1.000000000000000021e-02 9.124032298212884085e-01 -1.173205852508544922e+01 -4.247739778528137888e-01
2.000000000000000042e-02 9.224032298212884173e-01 -1.172887730598449707e+01 -7.775184334890511417e-01
2.999999999999999889e-02 9.324032298212884262e-01 -1.172391891479492188e+01 -1.103886602893484836e+00
4.000000000000000083e-02 9.424032298212884351e-01 -1.171730685234069824e+01 -1.411731049247234582e+00
5.000000000000000278e-02 9.524032298212884440e-01 -1.170915865898132324e+01 -1.696384716471378118e+00
5.999999999999999778e-02 9.624032298212883418e-01 -1.169961023330688477e+01 -1.954868033601286692e+00
7.000000000000000666e-02 9.724032298212882397e-01 -1.168880462646484375e+01 -2.187156948365170717e+00
8.000000000000000167e-02 9.824032298212883596e-01 -1.167688012123107910e+01 -2.394886000827675332e+00
