lambda,distance_A,E_total_eV,E_internal_eV,E_ml2b_eV,E_mm_eV
0.0,0.6,-45.3489990234375,-45.3489990234375,0.0,0.0
0.0,0.8114285714285714,-45.304229736328125,-45.304229736328125,0.0,0.0
0.0,1.022857142857143,-45.367027282714844,-45.367027282714844,0.0,0.0
0.0,1.2342857142857144,-45.621273040771484,-45.621273040771484,0.0,0.0
0.0,1.4457142857142857,-45.6593132019043,-45.6593132019043,0.0,0.0
0.0,1.657142857142857,-45.71814727783203,-45.71814727783203,0.0,0.0
0.0,1.8685714285714288,-45.81683349609375,-45.81683349609375,0.0,0.0
0.0,2.08,-45.890846252441406,-45.890846252441406,0.0,0.0
0.0,2.2914285714285714,-46.24810791015625,-46.24810791015625,0.0,0.0
0.0,2.502857142857143,-46.49951934814453,-46.49951934814453,-0.0,0.0
0.0,2.7142857142857144,-46.77989959716797,-46.77989959716797,-0.0,0.0
0.0,2.9257142857142857,-47.203861236572266,-47.203861236572266,-0.0,0.0
0.0,3.1371428571428575,-47.62483596801758,-47.62483596801758,-0.0,0.0
0.0,3.3485714285714288,-47.922359466552734,-47.922359466552734,-0.0,0.0
0.0,3.56,-48.182640075683594,-48.182640075683594,-0.0,0.0
0.0,3.771428571428572,-48.338592529296875,-48.338592529296875,-0.0,0.0
0.0,3.982857142857143,-48.36274337768555,-48.36274337768555,-0.0,0.0
0.0,4.194285714285714,-48.34553527832031,-48.34553527832031,-0.0,0.0
0.0,4.405714285714286,-48.33129119873047,-48.33129119873047,-0.0,0.0
0.0,4.6171428571428565,-48.295494079589844,-48.295494079589844,-0.0,0.0
0.0,4.828571428571428,-48.222843170166016,-48.222843170166016,-0.0,0.0
0.0,5.04,-48.11674499511719,-48.11674499511719,-0.0,0.0
0.0,5.251428571428571,-47.99595642089844,-47.99595642089844,-0.0,0.0
0.0,5.462857142857143,-47.88610076904297,-47.88610076904297,-0.0,0.0
0.0,5.674285714285714,-47.79269027709961,-47.79269027709961,-0.0,0.0
0.0,5.885714285714285,-47.703948974609375,-47.703948974609375,-0.0,0.0
0.0,6.097142857142857,-47.611419677734375,-47.611419677734375,-0.0,0.0
0.0,6.308571428571429,-47.53249740600586,-47.53249740600586,-0.0,0.0
0.0,6.52,-47.48259735107422,-47.48259735107422,-0.0,0.0
0.0,6.731428571428571,-47.471229553222656,-47.471229553222656,-0.0,0.0
0.0,6.942857142857143,-47.471717834472656,-47.471717834472656,-0.0,0.0
0.0,7.154285714285714,-47.47096633911133,-47.47096633911133,-0.0,0.0
0.0,7.365714285714286,-47.47212600708008,-47.47212600708008,-0.0,0.0
0.0,7.577142857142857,-47.47240447998047,-47.47240447998047,-0.0,0.0
0.0,7.788571428571428,-47.47216796875,-47.47216796875,-0.0,0.0
0.0,8.0,-47.47212219238281,-47.47212219238281,-0.0,0.0
0.1,0.6,-42.81002426147461,-45.34906005859375,2.539036512374878,0.0
0.1,0.8114285714285714,-43.55313491821289,-45.30522918701172,1.7520942687988281,0.0
0.1,1.022857142857143,-43.758052825927734,-45.366371154785156,1.6083176136016846,0.0
0.1,1.2342857142857144,-44.801788330078125,-45.621273040771484,0.8194843530654907,0.0
0.1,1.4457142857142857,-45.24627685546875,-45.65904998779297,0.41277503967285156,0.0
0.1,1.657142857142857,-44.86001968383789,-45.71701431274414,0.8569950461387634,0.0
0.1,1.8685714285714288,-45.15733337402344,-45.816680908203125,0.6593460440635681,0.0
0.1,2.08,-45.6148681640625,-45.890846252441406,0.2759765684604645,0.0
0.1,2.2914285714285714,-46.11721420288086,-46.24805450439453,0.1308414489030838,0.0
0.1,2.502857142857143,-46.53049850463867,-46.499515533447266,-0.030983353033661842,0.0
0.1,2.7142857142857144,-46.911991119384766,-46.779747009277344,-0.13224564492702484,0.0
0.1,2.9257142857142857,-47.39344024658203,-47.20586395263672,-0.18757668137550354,0.0
0.1,3.1371428571428575,-47.833030700683594,-47.62483596801758,-0.20819473266601562,0.0
0.1,3.3485714285714288,-48.131404876708984,-47.92235565185547,-0.20904885232448578,0.0
0.1,3.56,-48.37667465209961,-48.18259048461914,-0.19419269263744354,0.00010517582268221304
0.1,3.771428571428572,-48.50529479980469,-48.338043212890625,-0.1679191291332245,0.0006692003225907683
