offset,distance,delta_E_total,delta_E_spooky,delta_E_mbd,E_elec,E_rep,E_neural,q_max_abs,q_rms,q_net_monA,q_net_monB
0.0,2.0,314.7713021547132,317.2004301328017,-2.4291279780885464,18.59878047073258,3.758836233883287e-32,23.088078188478608,0.25756073,0.16291171,0.75094414,0.5835601
0.0,2.2,264.39780643733906,266.6209087024269,-2.2231022650878263,14.508895044247465,1.2391540247722716e-31,-23.401557815411145,0.2330454,0.1606371,0.69180155,0.5325191
0.0,2.4,229.32784831836707,231.48255313711851,-2.154704818751438,10.819740756907054,4.402474876425784e-31,-54.850759093379104,0.20812342,0.15779203,0.5820992,0.5234749
0.0,2.6,213.53384194772332,215.48932538263512,-1.955483434911784,9.338807224176717,1.6660890145403822e-30,-69.36305331513218,0.18819052,0.15489233,0.50973237,0.5441544
0.0,2.8,191.5461541708709,193.43900247891105,-1.892848308040148,8.34426052999128,6.642108354719565e-30,-90.4188295246708,0.18880403,0.15336561,0.46187946,0.557026
0.0,3.0,168.1304254299755,169.98421035488553,-1.8537849249100269,7.1959735593842975,2.7606877885590194e-29,-112.72533467808931,0.1852793,0.15118562,0.41993785,0.55324745
0.0,3.2,146.00858569583207,147.80004260329022,-1.7914569074581408,6.293094009330456,1.184733515296687e-28,-134.00662287963078,0.17849874,0.14808445,0.39589426,0.5379375
0.0,3.4000000000000004,125.25793628151945,126.90128901383807,-1.643352732318613,5.68946372441558,5.203286895660605e-28,-154.30174618416808,0.17108488,0.14567582,0.3865227,0.5214778
0.0,3.6,108.56153159936517,110.12046372166333,-1.5589321222981622,5.2706013477147025,2.3199552447603604e-27,-170.66370909964195,0.16684237,0.14529094,0.3799558,0.5141717
0.0,3.8,97.31934155947229,98.74335475719928,-1.4240131977269939,4.862330989557367,1.042366446886463e-26,-181.63254770594864,0.1669257,0.1464453,0.37063098,0.5129411
0.0,4.0,89.5466924980438,90.79127519098935,-1.2445826929455666,4.3332606254684904,4.688163881576858e-26,-189.0555569080697,0.16766006,0.14745824,0.35919368,0.5067533
0.0,4.2,82.59170815698869,83.80884502751812,-1.2171368705294228,3.727138343457917,2.0979017035622265e-25,-195.43186478953035,0.16623896,0.1473782,0.34704137,0.49338317
0.0,4.4,75.2439874572361,76.33715322576364,-1.0931657685275455,3.15751254786997,9.290015716702062e-25,-202.3339307956969,0.17079155,0.14631434,0.33560583,0.47706538
0.0,4.6,69.10947722915881,70.05588005207741,-0.9464028229186074,2.6944476338819383,4.0509334597853634e-24,-208.15213905539508,0.17589995,0.14529207,0.32915938,0.46064863
0.0,4.800000000000001,66.18954406363724,66.95083792568118,-0.7612938620439476,2.2576967934732215,1.7318046769993608e-23,-210.8204303413826,0.17894703,0.14463799,0.32771504,0.44038585
0.0,5.0,65.46230284100565,66.1693432380201,-0.7070403970144499,1.7492424478284083,7.23084638432028e-23,-211.09347068339886,0.18218504,0.14424102,0.32522026,0.41477117
0.0,5.2,65.4747330060085,66.0536859828517,-0.5789529768432029,1.2492624214577621,2.938688659714646e-22,-210.7091479121966,0.1856379,0.1441259,0.3229338,0.38779232
